user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
2,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
4,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
6,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
12,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
13,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
14,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
17,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
22,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
25,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
30,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
40,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
42,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
44,0.3010299956639812,1.0,1.0,1.3,ml100k,popularity,none,0,50,
49,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
56,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
59,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
62,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
67,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
69,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
70,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
76,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
78,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
93,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
97,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
105,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
109,0.0,1.0,0.0,0.7,ml100k,popularity,none,0,50,
110,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
122,0.6309297535714575,1.0,1.0,1.3,ml100k,popularity,none,0,50,
128,0.3868528072345416,1.0,1.0,1.3,ml100k,popularity,none,0,50,
131,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
136,0.0,1.0,0.0,0.5,ml100k,popularity,none,0,50,
139,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
169,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
172,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
174,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
190,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
198,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
201,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
202,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
203,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
209,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
210,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
211,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
220,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
230,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
234,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
252,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
257,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
260,0.6309297535714575,1.0,1.0,1.5,ml100k,popularity,none,0,50,
266,0.0,1.0,0.0,0.8,ml100k,popularity,none,0,50,
267,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
273,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
280,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
286,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
294,0.0,1.0,0.0,1.5,ml100k,popularity,none,0,50,
302,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
303,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
305,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
313,0.430676558073393,1.0,1.0,1.3,ml100k,popularity,none,0,50,
316,0.0,1.0,0.0,1.3,ml100k,popularity,none,0,50,
317,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
321,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
326,0.0,1.0,0.0,0.9,ml100k,popularity,none,0,50,
330,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
337,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
338,0.0,1.0,0.0,1.1,ml100k,popularity,none,0,50,
