stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3102897999997367,0.3125,0.3125,0.0,1.007123018546743,103743488,1971,0.0001585489599188,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3224764999995386,0.3125,0.296875,0.015625,0.9690628619463654,103743488,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3043278999994072,0.3125,0.25,0.0625,1.0268529438168787,103743488,43,0.0072674418604651,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3121601999991981,0.3125,0.3125,0.0,1.0010885436413828,103743488,1962,0.0001592762487257,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3172608000004402,0.3125,0.3125,0.0,0.9849940490585865,103743488,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3127376000011281,0.3125,0.21875,0.09375,0.999240257643701,103743488,37,0.0084459459459459,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3023743000012473,0.3125,0.3125,0.0,1.033487303645551,103743488,1911,0.0001635269492412,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3164876999999251,0.3125,0.296875,0.015625,0.9874001422490478,103743488,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3162749999992229,0.3125,0.28125,0.03125,0.9880641846518624,103743488,31,0.0100806451612903,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3120512000004964,0.3125,0.296875,0.015625,1.0014382255203724,103743488,1884,0.0001658704883227,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3182534000006853,0.3125,0.296875,0.015625,0.9819219527562848,103743488,26,0.0120192307692307,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3077102000006562,0.3125,0.265625,0.046875,1.0155659448381418,103743488,21,0.0148809523809523,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.308721900000819,0.3125,0.3125,0.0,1.012237874926175,103743488,1960,0.0001594387755102,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3194150999988778,0.3125,0.3125,0.0,0.9783507417185282,103743488,26,0.0120192307692307,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3370242999990296,0.34375,0.3125,0.03125,1.0199561277955025,106311680,16,0.021484375,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3094385000003967,0.3125,0.296875,0.015625,1.0098937268620398,106311680,1963,0.0001591951095262,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3576299000014842,0.34375,0.28125,0.0625,0.9611892070505664,146018304,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3018308999999135,0.3125,0.3125,0.0,1.0353479382001296,146018304,24,0.0130208333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3089060000002064,0.3125,0.234375,0.078125,1.0116346072908626,146018304,42,0.0074404761904761,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3556269000000611,0.328125,0.328125,0.0,0.9226664237152578,146018304,3,0.109375,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3048717000001488,0.3125,0.3125,0.0,1.025021345043989,146018304,1908,0.0001637840670859,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3560011000008671,0.34375,0.296875,0.046875,0.9655869040830568,169263104,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.312161500000002,0.3125,0.3125,0.0,1.0010843745945546,169263104,25,0.0125,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3033226000006834,0.3125,0.28125,0.03125,1.0302562354380975,169263104,38,0.0082236842105263,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.4537632999999914,0.453125,0.453125,0.0,0.9985933194685612,169263104,2,0.2265625,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3013055999999778,0.3125,0.3125,0.0,1.0371529769112255,169263104,1891,0.0001652564780539,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3607542000008834,0.359375,0.3125,0.046875,0.996176898284538,170303488,4,0.08984375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.317673300000024,0.3125,0.296875,0.015625,0.9837150305045352,170303488,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3065182999998797,0.3125,0.25,0.0625,1.0195149849132097,170303488,29,0.0107758620689655,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.5013539000010496,0.5,0.484375,0.015625,0.9972995123782884,191397888,1,0.5,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3095154000002367,0.3125,0.3125,0.0,1.0096428158332704,191414272,1970,0.0001586294416243,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3575096000004123,0.34375,0.25,0.09375,0.9615126418971786,191414272,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3059876999996049,0.3125,0.28125,0.03125,1.021282881633489,191414272,25,0.0125,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3112923999997292,0.3125,0.25,0.0625,1.0038793108995652,191414272,22,0.0142045454545454,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,1.3857936000003974,1.390625,1.3125,0.078125,1.0034863777691,389414912,1,1.390625,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.2994116000008944,0.3125,0.296875,0.015625,1.0437137372067966,389414912,1901,0.0001643871646501,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.353542799999559,0.34375,0.3125,0.03125,0.9723009491366496,389414912,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3089884999990318,0.3125,0.3125,0.0,1.0113645006237424,389414912,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3060791000007157,0.3125,0.203125,0.109375,1.020977910609608,389414912,15,0.0208333333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,3.439604600000166,3.4375,2.90625,0.53125,0.9993881273445888,1172750336,1,3.4375,ml100k,0,,ml100k,popularity,quota_mmr,0
train,itemknn,0.3857927000008203,0.375,0.3125,0.0625,0.9720246132163792,1172750336,2,0.1875,ml100k,0,,ml100k,itemknn,none,0
retrieve_score,itemknn,0.3178717999999207,0.328125,0.328125,0.0,1.032255771037512,1172750336,12,0.02734375,ml100k,0,,ml100k,itemknn,none,0
