dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by
ml100k,popularity,none,200,50,10,0.0001585489599188,0.3102897999997367,0.0,0.0,0.011574074074074,0.3224764999995386,0.0072674418604651,0.3043278999994072,0.0,0.0,0.0001585489599188,9.420757967269594e-05,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.225,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,100,10,0.0001592762487257,0.3121601999991981,0.0,0.0,0.011574074074074,0.3172608000004402,0.0084459459459459,0.3127376000011281,0.0,0.0,0.0001592762487257,0.0001001001001001,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.365,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,200,10,0.0001635269492412,0.3023743000012473,0.0,0.0,0.011574074074074,0.3164876999999251,0.0100806451612903,0.3162749999992229,0.0,0.0,0.0001635269492412,0.0001082735961768,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.5,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,400,10,0.0001658704883227,0.3120512000004964,0.0,0.0,0.0120192307692307,0.3182534000006853,0.0148809523809523,0.3077102000006562,0.0,0.0,0.0001658704883227,0.0001345009157509,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.715,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,800,10,0.0001594387755102,0.308721900000819,0.0,0.0,0.0120192307692307,0.3194150999988778,0.021484375,0.3370242999990296,0.0,0.0,0.0001594387755102,0.0001675180288461,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.92,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,quota_mmr,200,50,10,0.0001591951095262,0.3094385000003967,0.0859375,0.3576299000014842,0.0130208333333333,0.3018308999999135,0.0074404761904761,0.3089060000002064,0.109375,0.3556269000000611,0.0860966951095262,0.000649181547619,0.0551214313942276,0.9074930070408346,0.115,0.254,0.0467012601927353,0.9843350630096368,0.225,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.355063332786041,,
ml100k,popularity,quota_mmr,200,100,10,0.0001637840670859,0.3048717000001488,0.0859375,0.3560011000008671,0.0125,0.312161500000002,0.0082236842105263,0.3033226000006834,0.2265625,0.4537632999999914,0.0861012840670859,0.0012364309210526,0.0530573908865986,0.9006860808665279,0.11,0.2565,0.0533728687916975,0.9832765011119348,0.365,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.3475491788829563,,
ml100k,popularity,quota_mmr,200,200,10,0.0001652564780539,0.3013055999999778,0.08984375,0.3607542000008834,0.0120192307692307,0.317673300000024,0.0107758620689655,0.3065182999998797,0.5,0.5013539000010496,0.0900090064780539,0.0026139754641909,0.0540958789247394,0.890318438440483,0.11,0.2569999999999999,0.0630096367679762,0.9818094885100074,0.5,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.3366924554619564,,
ml100k,popularity,quota_mmr,200,400,10,0.0001586294416243,0.3095154000002367,0.0859375,0.3575096000004123,0.0125,0.3059876999996049,0.0142045454545454,0.3112923999997292,1.390625,1.3857936000003974,0.0860961294416243,0.0070866477272727,0.0525824403587053,0.8651129121434923,0.105,0.2569999999999999,0.0993328391401037,0.976319495922906,0.715,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.3119862089501119,,
ml100k,popularity,quota_mmr,200,800,10,0.0001643871646501,0.2994116000008944,0.0859375,0.353542799999559,0.0120192307692307,0.3089884999990318,0.0208333333333333,0.3060791000007157,3.4375,3.439604600000166,0.0861018871646501,0.0173517628205128,0.0462942633223253,0.7698941061146993,0.09,0.252,0.1645663454410674,0.953427724240178,0.92,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.2171221741916442,,
ml100k,itemknn,none,200,50,10,0.1875,0.3857927000008203,0.0,0.0,0.02734375,0.3178717999999207,0.0067934782608695,0.3144255999995948,0.0,0.0,0.1875,0.0001706861413043,0.0471215195017992,1.0,0.1,1.1518333333333333,0.1022979985174203,0.9595700518902892,0.315,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,100,10,0.1953125,0.3850885000010748,0.0,0.0,0.0260416666666666,0.3191188999990118,0.0078125,0.3074145000009594,0.0,0.0,0.1953125,0.0001692708333333,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.415,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,200,10,0.1953125,0.3836097000003065,0.0,0.0,0.0260416666666666,0.3131780000003346,0.0100806451612903,0.3152415000004112,0.0,0.0,0.1953125,0.0001806115591397,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.665,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,400,10,0.1875,0.38405099999909,0.0,0.0,0.0260416666666666,0.3124745999994047,0.0148809523809523,0.3121189000012236,0.0,0.0,0.1875,0.000204613095238,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.815,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,,,
