stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3037845999970159,0.3125,0.296875,0.015625,1.0286894069122323,103260160,1805,0.0001731301939058,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3246872999989136,0.3125,0.3125,0.0,0.9624645004625852,103260160,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3054955000006885,0.3125,0.25,0.0625,1.0229283246375012,103260160,41,0.0076219512195121,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3041947000019718,0.3125,0.3125,0.0,1.0273025795583368,103260160,1930,0.0001619170984455,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3147706000017933,0.3125,0.28125,0.03125,0.992786492760822,103260160,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3106780000016442,0.3125,0.140625,0.171875,1.0058645929172525,103260160,35,0.0089285714285714,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3084975000019767,0.3125,0.3125,0.0,1.012974173203989,103260160,1881,0.000166135034556,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3192713999997068,0.3125,0.296875,0.015625,0.978791084952448,103260160,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3123954999973648,0.3125,0.25,0.0625,1.0003345118692044,103260160,29,0.0107758620689655,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3101027000011527,0.3125,0.3125,0.0,1.0077306647082995,103260160,1924,0.000162422037422,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3223593000002438,0.3125,0.3125,0.0,0.9694151836158088,103260160,28,0.0111607142857142,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3118432999981451,0.3125,0.25,0.0625,1.0021058653556412,103260160,22,0.0142045454545454,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.299776900003053,0.3125,0.3125,0.0,1.0424418959460098,103260160,1590,0.0001965408805031,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3340934000007109,0.3125,0.3125,0.0,0.9353671757638282,103260160,20,0.015625,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3129838000022573,0.3125,0.1875,0.125,0.9984542330872912,105463808,14,0.0223214285714285,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3112954999996873,0.3125,0.3125,0.0,1.0038693138844408,105463808,1768,0.0001767533936651,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3850300999984029,0.375,0.3125,0.0625,0.973949828861576,145346560,4,0.09375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3032934000002569,0.3125,0.28125,0.03125,1.0303554248121958,145346560,24,0.0130208333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.31950439999855,0.3125,0.265625,0.046875,0.9780772972184988,145346560,39,0.0080128205128205,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3691312999981164,0.359375,0.34375,0.015625,0.973569567256512,145346560,3,0.1197916666666666,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3002726000013354,0.3125,0.3125,0.0,1.0407209981816865,145346560,1864,0.0001676502145922,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3797314000003098,0.375,0.28125,0.09375,0.9875401402140936,167944192,4,0.09375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3159329000009165,0.3125,0.3125,0.0,0.9891340851145716,167944192,25,0.0125,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3070197999986703,0.3125,0.203125,0.109375,1.017849663120598,167944192,36,0.0086805555555555,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.4816685000005236,0.46875,0.453125,0.015625,0.9731796868582654,167944192,2,0.234375,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3004655000004277,0.3125,0.3125,0.0,1.0400528513242124,167944192,1874,0.0001667556029882,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3633464999984426,0.359375,0.28125,0.078125,0.9890696621586844,168304640,4,0.08984375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.312092299998767,0.3125,0.265625,0.046875,1.0013063443129953,168304640,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3150607999996282,0.3125,0.203125,0.109375,0.991872045015974,168304640,29,0.0107758620689655,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.5145370999998704,0.515625,0.484375,0.03125,1.0021143276162785,191373312,1,0.515625,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3053527000010945,0.3125,0.3125,0.0,1.0234067031301175,191389696,1940,0.0001610824742268,ml100k,0,,ml100k,popularity,quota_mmr,0
