stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3030106000005617,0.3125,0.296875,0.015625,1.031317056233085,103837696,1914,0.0001632706374085,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3209492000023601,0.3125,0.265625,0.046875,0.9736743384862836,103837696,28,0.0111607142857142,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3064805999965756,0.3125,0.234375,0.078125,1.0196403948683592,103837696,41,0.0076219512195121,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3098852999974042,0.3125,0.296875,0.015625,1.00843763806356,103837696,1996,0.0001565631262525,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.322416199996951,0.3125,0.296875,0.015625,0.969244101267105,103837696,28,0.0111607142857142,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3097232000000076,0.3125,0.25,0.0625,1.0089654246113702,103837696,35,0.0089285714285714,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3032957000032183,0.3125,0.3125,0.0,1.0303476112476502,103837696,1699,0.0001839317245438,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3223475999984657,0.3125,0.296875,0.015625,0.9694503697297184,103837696,28,0.0111607142857142,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3051802999980282,0.3125,0.21875,0.09375,1.0239848378221632,103837696,29,0.0107758620689655,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3018853999965358,0.3125,0.3125,0.0,1.0351610246921048,103837696,1911,0.0001635269492412,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3134501000022283,0.3125,0.28125,0.03125,0.9969688955204624,103837696,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3182377000048291,0.3125,0.21875,0.09375,0.9819703950702824,103837696,22,0.0142045454545454,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3011756999985664,0.3125,0.3125,0.0,1.0376003110526095,103837696,1912,0.0001634414225941,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3150717000025906,0.3125,0.3125,0.0,0.9918377308956358,103837696,27,0.011574074074074,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3255977000007988,0.328125,0.234375,0.09375,1.0077620327145893,106356736,16,0.0205078125,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3122188000052119,0.3125,0.3125,0.0,1.0009006504245848,106356736,1945,0.0001606683804627,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3587975000045844,0.359375,0.25,0.109375,1.001609542974542,146137088,4,0.08984375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3134633999943617,0.3125,0.3125,0.0,0.9969265949569264,146137088,27,0.011574074074074,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.316579799997271,0.3125,0.1875,0.125,0.987112885922266,146137088,41,0.0076219512195121,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3490536000026623,0.34375,0.328125,0.015625,0.9848057719426992,146137088,3,0.1145833333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.31124959999579,0.3125,0.3125,0.0,1.004017354574036,146137088,1936,0.0001614152892561,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3593920999992406,0.359375,0.296875,0.0625,0.9999524196574142,170008576,4,0.08984375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.31633100000181,0.3125,0.296875,0.015625,0.9878892678814656,170008576,27,0.011574074074074,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3150244999997085,0.3125,0.25,0.0625,0.9919863375714878,170008576,38,0.0082236842105263,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.4623246999981347,0.46875,0.46875,0.0,1.0138978081895498,170008576,2,0.234375,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3122872000021743,0.3125,0.3125,0.0,1.0006814240155348,170008576,1950,0.0001602564102564,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3589341999977478,0.34375,0.265625,0.078125,0.9576964245874506,170008576,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3041841000012937,0.3125,0.3125,0.0,1.0273383783000851,170008576,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3098663999990094,0.3125,0.21875,0.09375,1.008499146732266,170008576,28,0.0111607142857142,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.5287781000006362,0.53125,0.515625,0.015625,1.0046747397431188,192319488,1,0.53125,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3046945000023697,0.3125,0.296875,0.015625,1.0256174627292896,192335872,1933,0.000161665804449,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3587245000016992,0.34375,0.28125,0.0625,0.9582562662945288,192335872,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3046318999986397,0.3125,0.28125,0.03125,1.0258282208836154,192335872,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3113293999995221,0.3125,0.203125,0.109375,1.003760004678259,192335872,21,0.0148809523809523,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,1.3571236999996472,1.359375,1.21875,0.140625,1.0016588760481844,390303744,1,1.359375,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3038959999976214,0.3125,0.3125,0.0,1.028312317379781,390303744,1876,0.0001665778251599,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3586320000031264,0.34375,0.296875,0.046875,0.9585034241144216,390303744,4,0.0859375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3039970000027097,0.3125,0.296875,0.015625,1.0279706707540357,390303744,26,0.0120192307692307,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3195914999960223,0.3125,0.25,0.0625,0.9778107365305068,390303744,15,0.0208333333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,3.676292600001034,3.65625,2.96875,0.6875,0.9945481488603416,1172451328,1,3.65625,ml100k,0,,ml100k,popularity,quota_mmr,0
train,itemknn,0.3975854999953299,0.40625,0.390625,0.015625,1.021792796781502,1172451328,2,0.203125,ml100k,0,,ml100k,itemknn,none,0
retrieve_score,itemknn,0.3115207000009832,0.3125,0.296875,0.015625,1.0031436113202548,1172451328,12,0.0260416666666666,ml100k,0,,ml100k,itemknn,none,0
retrieve_select,itemknn,0.3183213000011164,0.3125,0.203125,0.109375,0.9817125024272768,1172451328,45,0.0069444444444444,ml100k,0,,ml100k,itemknn,none,0
train,itemknn,0.3875494000021717,0.390625,0.375,0.015625,1.0079360205377972,1172451328,2,0.1953125,ml100k,0,,ml100k,itemknn,none,0
retrieve_score,itemknn,0.3180568000025232,0.3125,0.28125,0.03125,0.982528906778666,1172451328,12,0.0260416666666666,ml100k,0,,ml100k,itemknn,none,0
