dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,popularity,none,200,50,10,0.0001632706374085,0.3030106000005617,0.0,0.0,0.0111607142857142,0.3209492000023601,0.0076219512195121,0.3064805999965756,0.0,0.0,0.0001632706374085,9.391332752613242e-05,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.225,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,100,10,0.0001565631262525,0.3098852999974042,0.0,0.0,0.0111607142857142,0.322416199996951,0.0089285714285714,0.3097232000000076,0.0,0.0,0.0001565631262525,0.0001004464285714,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.365,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,200,10,0.0001839317245438,0.3032957000032183,0.0,0.0,0.0111607142857142,0.3223475999984657,0.0107758620689655,0.3051802999980282,0.0,0.0,0.0001839317245438,0.0001096828817733,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.5,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,400,10,0.0001635269492412,0.3018853999965358,0.0,0.0,0.011574074074074,0.3134501000022283,0.0142045454545454,0.3182377000048291,0.0,0.0,0.0001635269492412,0.000128893097643,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.715,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,800,10,0.0001634414225941,0.3011756999985664,0.0,0.0,0.011574074074074,0.3150717000025906,0.0205078125,0.3255977000007988,0.0,0.0,0.0001634414225941,0.0001604094328703,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.92,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,quota_mmr,200,50,10,0.0001606683804627,0.3122188000052119,0.08984375,0.3587975000045844,0.011574074074074,0.3134633999943617,0.0076219512195121,0.316579799997271,0.1145833333333333,0.3490536000026623,0.0900044183804627,0.0006688967931345,0.0582760801620849,0.9141206939082096,0.12,0.2385,0.0400296515937731,0.9853269088213492,0.225,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,0.3641412665194039,,,
ml100k,popularity,quota_mmr,200,100,10,0.0001614152892561,0.31124959999579,0.08984375,0.3593920999992406,0.011574074074074,0.31633100000181,0.0082236842105263,0.3150244999997085,0.234375,0.4623246999981347,0.0900051652892562,0.001270863791423,0.0551214313942276,0.9130084025392536,0.115,0.2395,0.0415122312824314,0.9852416604892512,0.365,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,0.3617810200099312,,,
ml100k,popularity,quota_mmr,200,200,10,0.0001602564102564,0.3122872000021743,0.0859375,0.3589341999977478,0.0120192307692307,0.3041841000012937,0.0111607142857142,0.3098663999990094,0.53125,0.5287781000006362,0.0860977564102564,0.0027721497252747,0.0551214313942276,0.9122173993334148,0.115,0.246,0.0415122312824314,0.9850926612305412,0.5,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,0.3604117860291841,,,
ml100k,popularity,quota_mmr,200,400,10,0.000161665804449,0.3046945000023697,0.0859375,0.3587245000016992,0.0120192307692307,0.3046318999986397,0.0148809523809523,0.3113293999995221,1.359375,1.3571236999996472,0.086099165804449,0.0069313759157509,0.0551214313942276,0.911511999542436,0.115,0.2475,0.0407709414381022,0.9850229799851742,0.715,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,0.3589727243624847,,,
ml100k,popularity,quota_mmr,200,800,10,0.0001665778251599,0.3038959999976214,0.0859375,0.3586320000031264,0.0120192307692307,0.3039970000027097,0.0208333333333333,0.3195914999960223,3.65625,3.676292600001034,0.0861040778251599,0.0184455128205128,0.0551214313942276,0.9104631754270384,0.115,0.2495,0.0407709414381022,0.9848346923647148,0.92,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,0.3567619564642927,,,
ml100k,itemknn,none,200,50,10,0.203125,0.3975854999953299,0.0,0.0,0.0260416666666666,0.3115207000009832,0.0069444444444444,0.3183213000011164,0.0,0.0,0.203125,0.0001649305555555,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.315,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
