user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,intra_list_similarity
0,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
1,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
2,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
4,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
6,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
8,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
9,0.2890648263178879,1.0,1.0,1.5,gift_cards,popularity,none,0,
10,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
17,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
19,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
20,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
21,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
23,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
24,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
25,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
28,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
29,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
33,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
34,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
36,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
37,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
41,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
43,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
46,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
49,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
50,0.3333333333333333,1.0,1.0,1.5,gift_cards,popularity,none,0,
52,0.3010299956639812,1.0,1.0,1.5,gift_cards,popularity,none,0,
55,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
57,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
66,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
70,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
75,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
76,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
77,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
78,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
79,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
80,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
86,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
88,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
92,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
97,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
101,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
109,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
110,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
113,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
115,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
116,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,
118,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
119,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
120,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
122,0.3333333333333333,1.0,1.0,1.5,gift_cards,popularity,none,0,
123,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
124,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,
125,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
132,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
133,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
135,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
139,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
141,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
142,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
143,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
148,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
152,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
153,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
156,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
158,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
159,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
160,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,
161,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
163,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
164,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
166,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
170,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
171,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
172,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
173,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
174,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
176,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
177,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
178,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
186,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
187,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
188,1.0,1.0,1.0,1.5,gift_cards,popularity,none,0,
191,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
193,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
196,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
198,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
202,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
203,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
205,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
208,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
210,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
214,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
215,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
216,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
217,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
218,0.3868528072345416,1.0,1.0,1.5,gift_cards,popularity,none,0,
219,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
222,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
223,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
224,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
226,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
233,0.5,1.0,1.0,1.5,gift_cards,popularity,none,0,
234,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
237,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
238,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
241,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
242,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
244,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
245,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
249,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
250,0.3562071871080222,1.0,1.0,1.5,gift_cards,popularity,none,0,
251,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
254,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
258,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
260,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
262,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,
