stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,codecarbon.cpu_kwh,codecarbon.ram_kwh,codecarbon.gpu_kwh,codecarbon.total_kwh,codecarbon.cpu_watts,codecarbon.ram_watts,codecarbon.co2_kg,codecarbon.cpu_util_pct,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3089327999996385,0.3125,0.3125,0.0,1.0115468477298806,113516544,3697,8.452799567216662e-05,1.4098289171574137e-06,9.389651111109742e-06,0.0,1.0799480028267156e-05,1.5003125131875,10.0,4.758337296294735e-06,0.0,gift_cards,0,composite,gift_cards,popularity,none,0
retrieve_score,popularity,0.3195165999995879,0.3125,0.3125,0.0,0.97803995160315,113516544,30,0.0104166666666666,1.3806861857308225e-07,8.879991666668101e-07,0.0,1.026067785239893e-06,1.515395842125,10.0,4.520936747189785e-07,0.0,gift_cards,0,composite,gift_cards,popularity,none,0
retrieve_select,popularity,0.3004431999997905,0.3125,0.25,0.0625,1.040130047876663,113516544,96,0.0032552083333333,1.299970472134449e-07,8.350249999997083e-07,0.0,9.650220472131526e-07,1.52293750659375,10.0,4.251964341784929e-07,0.0,gift_cards,0,composite,gift_cards,popularity,none,0
train,popularity,0.3111261999993076,0.3125,0.3125,0.0,1.0044155715613006,113516544,3710,8.423180592991914e-05,1.412507764666614e-06,9.4088947222215e-06,0.0,1.0821402486888114e-05,1.5013215639375002,10.0,4.767996506942798e-06,0.0,gift_cards,0,composite,gift_cards,popularity,quota_mmr,0
rerank_setup,popularity,0.310176599999977,0.3125,0.3125,0.0,1.0074905715003102,113516544,615,0.0005081300813008,1.363728899837933e-07,8.620316666666537e-07,0.0,9.984045566504472e-07,1.524998230125,10.0,4.3990503489664034e-07,0.0,gift_cards,0,composite,gift_cards,popularity,quota_mmr,0
retrieve_score,popularity,0.3100426999999399,0.3125,0.3125,0.0,1.0079256824948968,113516544,29,0.0107758620689655,1.3631130621407e-07,8.616913888873672e-07,0.0,9.98002695101437e-07,1.53683656321875,10.0,4.397279714832536e-07,0.0,gift_cards,0,composite,gift_cards,popularity,quota_mmr,0
retrieve_select,popularity,0.3094098000001395,0.3125,0.25,0.0625,1.0099874018206891,113516544,91,0.0034340659340659,1.52216090566338e-07,8.599213888879193e-07,0.0,1.012137479454258e-06,1.580861490675,10.0,4.4595587054738134e-07,0.0,gift_cards,0,composite,gift_cards,popularity,quota_mmr,0
rerank,popularity,0.3645993999998609,0.359375,0.359375,0.0,0.9856708486084648,142798848,1,0.359375,1.6211519560694152e-07,1.013367500000741e-06,0.0,1.1754826956076848e-06,1.5825749308125,10.0,5.179270795463111e-07,0.0,gift_cards,0,composite,gift_cards,popularity,quota_mmr,0
train,itemknn,0.3174654999993436,0.3125,0.3125,0.0,0.9843589303424976,142848000,163,0.0019171779141104,4.997123534322808e-06,9.427727222221925e-06,0.0,1.442485075654473e-05,3.4125765984375,10.0,6.355704642139661e-06,0.0,gift_cards,0,composite,gift_cards,itemknn,none,0
retrieve_score,itemknn,0.318645600000309,0.3125,0.3125,0.0,0.9807133693347622,142848000,28,0.0111607142857142,1.3874915519603537e-07,8.855788888872155e-07,0.0,1.0243280440832517e-06,2.794182941625,10.0,4.513271308474338e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,none,0
retrieve_select,itemknn,0.2998689999994894,0.3125,0.3125,0.0,1.042121726489007,142848000,124,0.0025201612903225,1.2995996826266245e-07,8.335022222228056e-07,0.0,9.634621904854698e-07,2.4829635972187503,10.0,4.245091488254223e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,none,0
train,itemknn,0.3062467999998262,0.3125,0.3125,0.0,1.020418825601369,142848000,162,0.001929012345679,1.4115516508387453e-06,9.40366972222364e-06,0.0,1.0815221373062384e-05,1.52934054225,10.0,4.765273058742271e-06,0.0,gift_cards,0,composite,gift_cards,itemknn,quota_mmr,0
rerank_setup,itemknn,0.3097269999998389,0.3125,0.296875,0.015625,1.008953045747263,142848000,591,0.0005287648054145,1.4956517475173446e-07,8.608055555542808e-07,0.0,1.0103707303060144e-06,1.5950578335,10.0,4.451774267386725e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,quota_mmr,0
retrieve_score,itemknn,0.312469599999531,0.3125,0.3125,0.0,1.00009728946582,142848000,26,0.0120192307692307,1.7339165393113337e-07,8.68465833332265e-07,0.0,1.0418574872634008e-06,1.6914814754999998,10.0,4.590507437481522e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,quota_mmr,0
retrieve_select,itemknn,0.3055510000003778,0.3125,0.3125,0.0,1.0227425208872285,142848000,120,0.0026041666666666,1.5931634583372185e-07,8.492119444453144e-07,0.0,1.0085282902790369e-06,1.7260851803999997,10.0,4.443656329232661e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,quota_mmr,0
rerank,itemknn,0.3981188000007023,0.390625,0.375,0.015625,0.9811769753131752,144592896,1,0.390625,1.708672894779904e-07,1.106348055554917e-06,0.0,1.2772153450329075e-06,1.6945783169999995,10.0,5.627512987442591e-07,0.0,gift_cards,0,composite,gift_cards,itemknn,quota_mmr,0
train,als,0.6385560999997324,0.71875,0.65625,0.0625,1.1255863032242606,144613376,1,0.71875,1.5527771227425495e-06,1.0339643055557544e-05,0.0,1.1892420178300094e-05,1.50524369025,10.0,5.239895469920448e-06,0.0,gift_cards,0,composite,gift_cards,als,none,0
retrieve_score,als,0.3031500999995842,0.3125,0.3125,0.0,1.0308424770449642,144613376,26,0.0120192307692307,1.3104798678129652e-07,8.425280555558042e-07,0.0,9.735760423371e-07,1.5186832935,10.0,4.289653928620647e-07,0.0,gift_cards,0,composite,gift_cards,als,none,0
retrieve_select,als,0.3082120999997642,0.3125,0.3125,0.0,1.013912172819429,144613376,126,0.0024801587301587,1.3275750387062358e-07,8.566777777761879e-07,0.0,9.89435281646812e-07,1.524090166125,10.0,4.359531005758387e-07,0.0,gift_cards,0,composite,gift_cards,als,none,0
train,als,0.6319407000000865,0.625,0.625,0.0,0.9890168492073932,144613376,1,0.625,1.5394394971499647e-06,1.025632750000164e-05,0.0,1.1795766997151606e-05,1.5015505965,10.0,5.197309305080975e-06,0.0,gift_cards,0,composite,gift_cards,als,quota_mmr,0
rerank_setup,als,0.2991901000004873,0.3125,0.3125,0.0,1.044486431868872,144613376,565,0.0005530973451327,1.4380327527237734e-07,8.315519444446787e-07,0.0,9.75355219717056e-07,1.5739079775,10.0,4.297493126490928e-07,0.0,gift_cards,0,composite,gift_cards,als,quota_mmr,0
retrieve_score,als,0.3180205000007845,0.3125,0.3125,0.0,0.9826410561559054,144613376,25,0.0125,1.5525402874370818e-07,8.839036111112355e-07,0.0,1.0391576398549435e-06,1.616129440125,10.0,4.578611693812067e-07,0.0,gift_cards,0,composite,gift_cards,als,quota_mmr,0
retrieve_select,als,0.3024641999991218,0.3125,0.3125,0.0,1.0331801251219397,144613376,120,0.0026041666666666,1.330743147880094e-07,8.408413888901116e-07,0.0,9.73915703678122e-07,1.6073738646,10.0,4.291150503662096e-07,0.0,gift_cards,0,composite,gift_cards,als,quota_mmr,0
