dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
gift_cards,popularity,none,200,126,10,8.452799567216662e-05,0.3089327999996385,0.0,0.0,0.0104166666666666,0.3195165999995879,0.0032552083333333,0.3004431999997905,0.0,0.0,8.452799567216662e-05,6.8359375e-05,0.0582075728513028,1.0,0.12,1.5,0.1224489795918367,0.9208979591836736,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,popularity,quota_mmr,200,126,10,8.423180592991914e-05,0.3111261999993076,0.0005081300813008,0.310176599999977,0.0107758620689655,0.3100426999999399,0.0034340659340659,0.3094098000001395,0.359375,0.3645993999998609,0.0005923618872307,0.0018679246400151,0.0525431886506087,0.6338874043509347,0.1,0.2989999999999999,0.4013605442176871,0.8876326530612245,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,0.0081977785560779
gift_cards,itemknn,none,200,126,10,0.0019171779141104,0.3174654999993436,0.0,0.0,0.0111607142857142,0.318645600000309,0.0025201612903225,0.2998689999994894,0.0,0.0,0.0019171779141104,6.840437788018433e-05,0.1344178704564845,1.0,0.3,1.3625,0.5034013605442177,0.8134353741496598,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,itemknn,quota_mmr,200,126,10,0.001929012345679,0.3062467999998262,0.0005287648054145,0.3097269999998389,0.0120192307692307,0.312469599999531,0.0026041666666666,0.3055510000003778,0.390625,0.3981188000007023,0.0024577771510935,0.0020262419871794,0.1029973765073384,0.7178268183723898,0.21,0.2679999999999999,0.9931972789115646,0.3800204081632653,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,0.0107285743801339
gift_cards,als,none,200,126,10,0.71875,0.6385560999997324,0.0,0.0,0.0120192307692307,0.3031500999995842,0.0024801587301587,0.3082120999997642,0.0,0.0,0.71875,7.24969474969475e-05,0.0539461693592054,1.0,0.13,0.489,0.979591836734694,0.2441904761904761,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,als,quota_mmr,200,126,10,0.625,0.6319407000000865,0.0005530973451327,0.2991901000004873,0.0125,0.3180205000007845,0.0026041666666666,0.3024641999991218,0.4375,0.439013100000011,0.6255530973451328,0.0022630208333333,0.0463336727222359,0.977574535492976,0.105,0.2575,0.9727891156462584,0.2671496598639455,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0,ok,,,147,456,0.037265783506385,True,0.8,0.0027882832663778
ml100k,popularity,none,200,200,10,0.0001611655492521,0.3105040000000372,0.0,0.0,0.011574074074074,0.3172610000001441,0.0107758620689655,0.3072761000003083,0.0,0.0,0.0001611655492521,0.0001117496807151,0.0527225807997784,1.0,0.11,1.2005,0.0385470719051149,0.98322090437361,0.5,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,popularity,quota_mmr,200,200,10,0.0001594387755102,0.307991700000457,0.0859375,0.3533938999999009,0.011574074074074,0.3150746999999683,0.0100806451612903,0.3159328000001551,0.515625,0.5141297000000122,0.0860969387755102,0.0026863985961768,0.0540958789247394,0.890318438440483,0.11,0.2569999999999999,0.0630096367679762,0.9818094885100074,0.5,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,0.3366924554619564
ml100k,itemknn,none,200,200,10,0.1953125,0.3992814999992333,0.0,0.0,0.0260416666666666,0.3149353999997402,0.0100806451612903,0.3096193999999741,0.0,0.0,0.1953125,0.0001806115591397,0.0471215195017992,1.0,0.1,1.1535000000000002,0.1022979985174203,0.9595700518902892,0.665,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,itemknn,quota_mmr,200,200,10,0.1953125,0.3864383000000089,0.08984375,0.3577766000007614,0.0260416666666666,0.3136897000003955,0.009765625,0.3176761000004262,0.546875,0.5462853999997606,0.28515625,0.0029134114583333,0.0559431443157919,0.8735837388024233,0.115,0.2455,0.1408450704225352,0.9442512972572276,0.665,0,0.3,1.0,,,0,ok,,,1349,943,0.0773079623019132,True,0.8,0.3429401468984449
