stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3077531999997518,0.3125,0.3125,0.0,1.0154240475818026,338268160,3894,8.025166923472008e-05,gift_cards,0,,gift_cards,popularity,none,0
retrieve_score,popularity,0.3183430999997654,0.3125,0.3125,0.0,0.9816452751770977,338268160,31,0.0100806451612903,gift_cards,0,,gift_cards,popularity,none,0
retrieve_select,popularity,0.3069562999999107,0.3125,0.234375,0.078125,1.018060225511224,338268160,101,0.0030940594059405,gift_cards,0,,gift_cards,popularity,none,0
train,popularity,0.3070231000001513,0.3125,0.3125,0.0,1.0178387228838677,338268160,3857,8.10215193155302e-05,gift_cards,0,,gift_cards,popularity,quota_mmr,0
rerank_setup,popularity,0.3121587999994517,0.3125,0.3125,0.0,1.001093033419365,338268160,637,0.0004905808477237,gift_cards,0,,gift_cards,popularity,quota_mmr,0
retrieve_score,popularity,0.3152442000000519,0.3125,0.3125,0.0,0.9912950024138384,338268160,31,0.0100806451612903,gift_cards,0,,gift_cards,popularity,quota_mmr,0
retrieve_select,popularity,0.3120049999997718,0.3125,0.3125,0.0,1.0015865130373824,338268160,106,0.0029481132075471,gift_cards,0,,gift_cards,popularity,quota_mmr,0
rerank,popularity,0.3541105999993306,0.359375,0.328125,0.03125,1.0148665416982134,338268160,1,0.359375,gift_cards,0,,gift_cards,popularity,quota_mmr,0
train,itemknn,0.2996850000008635,0.3125,0.3125,0.0,1.042761566308289,338268160,153,0.0020424836601307,gift_cards,0,,gift_cards,itemknn,none,0
retrieve_score,itemknn,0.3198166000001947,0.3125,0.3125,0.0,0.9771225133398632,338268160,30,0.0104166666666666,gift_cards,0,,gift_cards,itemknn,none,0
retrieve_select,itemknn,0.3051783999999315,0.3125,0.3125,0.0,1.0239912130087518,338268160,118,0.0026483050847457,gift_cards,0,,gift_cards,itemknn,none,0
train,itemknn,0.308840799999416,0.3125,0.3125,0.0,1.0118481755020414,338268160,154,0.0020292207792207,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
rerank_setup,itemknn,0.3117905999997674,0.3125,0.296875,0.015625,1.0022752449888903,338268160,642,0.0004867601246105,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
retrieve_score,itemknn,0.314120300000468,0.3125,0.3125,0.0,0.99484178513625,338268160,30,0.0104166666666666,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
retrieve_select,itemknn,0.3111906000003728,0.3125,0.3125,0.0,1.0042077106430132,338268160,121,0.0025826446280991,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
rerank,itemknn,0.3799565999997867,0.375,0.359375,0.015625,0.9869548258938272,338268160,1,0.375,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
train,als,0.6253197999994882,0.640625,0.640625,0.0,1.0244757962254265,338268160,1,0.640625,gift_cards,0,,gift_cards,als,none,0
retrieve_score,als,0.3210030000000188,0.3125,0.3125,0.0,0.9735111509860708,338268160,30,0.0104166666666666,gift_cards,0,,gift_cards,als,none,0
retrieve_select,als,0.305959499999517,0.3125,0.3125,0.0,1.021377012318602,338268160,127,0.0024606299212598,gift_cards,0,,gift_cards,als,none,0
train,als,0.6199349999997139,0.71875,0.6875,0.03125,1.1593957431026345,338268160,1,0.71875,gift_cards,0,,gift_cards,als,quota_mmr,0
rerank_setup,als,0.3082315999999991,0.3125,0.296875,0.015625,1.013848028560345,338268160,634,0.0004929022082018,gift_cards,0,,gift_cards,als,quota_mmr,0
retrieve_score,als,0.3124465999999302,0.3125,0.3125,0.0,1.0001709092051885,338268160,29,0.0107758620689655,gift_cards,0,,gift_cards,als,quota_mmr,0
retrieve_select,als,0.3141058000001067,0.3125,0.3125,0.0,0.9948877098095414,338268160,130,0.0024038461538461,gift_cards,0,,gift_cards,als,quota_mmr,0
