a,b,n_requests,lo,hi,replicates_crossing,repeats,stable,cheaper_below,cheaper_above
popularity,popularity+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,itemknn,,,,0.0,5,False,popularity,popularity
popularity,itemknn+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,als,3440883.604468182,648764.269487655,5391602.500838965,0.054,5,False,popularity,als
popularity,als+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,multvae,,,,0.0,5,False,popularity,popularity
popularity,multvae+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,gru4rec,,,,0.0,5,False,popularity,popularity
popularity,gru4rec+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity+quota_mmr,itemknn,40.88318408236283,31.795817057042694,49.36506465884269,1.0,5,True,popularity+quota_mmr,itemknn
popularity+quota_mmr,itemknn+quota_mmr,460.177589848868,439.8096494279753,694.0987568594951,0.0505,5,False,popularity+quota_mmr,itemknn+quota_mmr
popularity+quota_mmr,als,2258.5814530979674,1814.3525946639882,2593.9151977780084,1.0,5,True,popularity+quota_mmr,als
popularity+quota_mmr,als+quota_mmr,164753.45232858817,164753.45232858817,164753.45232858817,0.0035,5,False,popularity+quota_mmr,als+quota_mmr
popularity+quota_mmr,multvae,2154.792168481368,1632.1001029571569,2815.3890436447064,1.0,5,True,popularity+quota_mmr,multvae
popularity+quota_mmr,multvae+quota_mmr,,,,0.0,5,False,popularity+quota_mmr,popularity+quota_mmr
popularity+quota_mmr,gru4rec,301610.50515803206,219110.00178067596,353123.56923636515,1.0,5,True,popularity+quota_mmr,gru4rec
popularity+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,popularity+quota_mmr,popularity+quota_mmr
itemknn,itemknn+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,als,112729.92700713917,51127.65957446633,180720.00000018498,0.9505,5,True,itemknn,als
itemknn,als+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,multvae,,,,0.0,5,False,itemknn,itemknn
itemknn,multvae+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,gru4rec,,,,0.0,5,False,itemknn,itemknn
itemknn,gru4rec+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn+quota_mmr,als,2021.4544372990792,1601.157744897398,2387.7797132520104,1.0,5,True,itemknn+quota_mmr,als
itemknn+quota_mmr,als+quota_mmr,25694.397283522463,18032.794729692963,40984.17806381056,0.0505,5,False,itemknn+quota_mmr,als+quota_mmr
itemknn+quota_mmr,multvae,1875.4880694142748,1407.4749316316897,2529.3185419968718,1.0,5,True,itemknn+quota_mmr,multvae
itemknn+quota_mmr,multvae+quota_mmr,,,,0.0,5,False,itemknn+quota_mmr,itemknn+quota_mmr
itemknn+quota_mmr,gru4rec,274597.2166997956,194620.06764373733,304803.4732271979,1.0,5,True,itemknn+quota_mmr,gru4rec
itemknn+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,itemknn+quota_mmr,itemknn+quota_mmr
als,als+quota_mmr,30.312674399312147,3.728331840523626,309.2378936065056,0.3535,5,False,als+quota_mmr,als
als,multvae,2639.4618834077837,361.29032258072476,5248.314606741536,0.997,5,True,multvae,als
als,multvae+quota_mmr,161.0091743119265,7.776862108248279,405.6795131845842,0.979,5,True,multvae+quota_mmr,als
als,gru4rec,,,,0.0,5,False,als,als
als,gru4rec+quota_mmr,,,,0.0,5,False,als,als
als+quota_mmr,multvae,,,,0.0,5,False,multvae,multvae
als+quota_mmr,multvae+quota_mmr,729.6306650003318,87.49999999999868,1632.0789323888973,0.997,5,True,multvae+quota_mmr,als+quota_mmr
als+quota_mmr,gru4rec,213079.00355871982,180851.56065462882,239602.13102472277,1.0,5,True,als+quota_mmr,gru4rec
als+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,als+quota_mmr,als+quota_mmr
multvae,multvae+quota_mmr,49.704142011835074,35.98130841121431,295.10229386237387,0.338,5,False,multvae+quota_mmr,multvae
multvae,gru4rec,,,,0.0,5,False,multvae,multvae
multvae,gru4rec+quota_mmr,,,,0.0,5,False,multvae,multvae
multvae+quota_mmr,gru4rec,109335.82327488095,89769.47368420992,126628.31700801366,1.0,5,True,multvae+quota_mmr,gru4rec
multvae+quota_mmr,gru4rec+quota_mmr,2391257.142856701,1231985.106382911,2391257.142856701,0.016,5,False,multvae+quota_mmr,gru4rec+quota_mmr
gru4rec,gru4rec+quota_mmr,7215.652173912962,1734.4262295081967,18684.17104276062,0.413,5,False,gru4rec+quota_mmr,gru4rec
