family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,5,0.0527225807997784,0.105,1.1855000000000002,0.0001668446342765,0.0001139754641909,0.24612508411296233,0.13693557494408617,0.0001668446342765,0.0,0.0120192307692307,0.0104166666666666,0.0
als,none,5,0.0685136534080465,0.155,0.8280000000000001,5.78125,0.0001359953703703,0.25135135135135134,0.610473274625024,5.78125,0.0,0.015625,0.0100806451612903,0.0
itemknn,none,5,0.0471215195017992,0.1,1.1425,0.1953125,0.000185546875,0.12,0.36986584107331383,0.1953125,0.0,0.02734375,0.009765625,0.0
multvae,none,5,0.0448168770048439,0.1,0.9745,4.375,0.0006510416666666,0.41785714285714287,0.5771428571429967,4.375,0.0,0.078125,0.0520833333333333,0.0
gru4rec,none,5,0.0995147995288019,0.185,0.9025,451.484375,0.0011979166666666,0.2147084270635058,0.1614906832298386,451.484375,0.0,0.1875,0.0520833333333333,0.0
popularity,quota_mmr,5,0.0539345033737276,0.105,0.2569999999999999,0.0978197769492412,0.0026945043103448,0.12010771907141359,0.23876766936849808,0.0001636982713462,0.09765625,0.0120192307692307,0.0104166666666666,0.515625
itemknn,quota_mmr,5,0.0467593097719959,0.095,0.2465,0.2890625,0.0028352864583333,0.25225225225225234,0.23772048846676636,0.1953125,0.09375,0.0260416666666666,0.009765625,0.53125
als,quota_mmr,5,0.0470996768572103,0.095,0.256,5.984375,0.0032886904761904,0.20604873803307228,0.13088176035192192,5.890625,0.09375,0.01953125,0.0100806451612903,0.625
multvae,quota_mmr,5,0.0410561823888268,0.085,0.248,4.96875,0.0052818080357142,0.3238993710691824,0.2243352702940632,4.53125,0.4375,0.09375,0.0520833333333333,0.90625
gru4rec,quota_mmr,5,0.0669416695718763,0.12,0.2604999999999999,455.6875,0.006796875,0.45923055822246606,0.30240831964970655,455.015625,0.625,0.2109375,0.0625,1.078125
