dataset,config,reference,metric,n_users,median_diff,ci_lo,ci_hi,better,worse,tied,statistic,p_raw,p_holm,significant,verdict
digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,0.3,0.3,0.3,0,200,0,0.0,9.515945264271506e-38,7.993394021988066e-36,True,worse on 0/200 decided users
digital_music,als,popularity,exposure_parity,200,1.3333333333333337,1.3333333333333337,1.3333333333333337,0,200,0,0.0,6.667504258760402e-36,5.200653321833114e-34,True,worse on 0/200 decided users
digital_music,itemknn,popularity,exposure_parity,200,1.3,1.1,1.3,0,200,0,0.0,5.651906076038329e-35,4.351967678549514e-33,True,worse on 0/200 decided users
digital_music,als+quota_mmr,popularity,exposure_parity,200,0.3,0.2666666666666666,0.3,0,186,14,0.0,1.1460407219627039e-33,7.793076909346386e-32,True,worse on 0/186 decided users
digital_music,popularity+quota_mmr,popularity,exposure_parity,200,0.0,0.0,0.0,0,0,200,,1.0,1.0,False,no detectable difference
digital_music,itemknn+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,20,2,178,4.0,6.608937940145509e-05,0.002841843314262569,True,better on 20/22 decided users
digital_music,als+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,17,1,182,3.5,0.0003373973939415084,0.013495895757660336,True,better on 17/18 decided users
digital_music,itemknn,popularity,ndcg,200,0.0,0.0,0.0,13,2,185,3.5,0.0012241458145500032,0.04651754095290012,True,better on 13/15 decided users
digital_music,als,popularity,ndcg,200,0.0,0.0,0.0,11,1,188,3.0,0.00441108693012528,0.15879912948451005,False,no detectable difference
digital_music,popularity+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,1,0,199,0.0,0.31731050786291415,1.0,False,no detectable difference
digital_music,itemknn+quota_mmr,popularity,recall,200,0.0,0.0,0.0,20,1,179,11.0,3.381272563301567e-05,0.0015215726534857051,True,better on 20/21 decided users
digital_music,als+quota_mmr,popularity,recall,200,0.0,0.0,0.0,16,1,183,9.0,0.0002747267638079423,0.011263797316125633,True,better on 16/17 decided users
digital_music,itemknn,popularity,recall,200,0.0,0.0,0.0,13,1,186,7.5,0.0013406411172294783,0.0496037213374907,True,better on 13/14 decided users
digital_music,als,popularity,recall,200,0.0,0.0,0.0,10,1,189,6.0,0.006655605482949377,0.22629058642027883,False,no detectable difference
digital_music,popularity+quota_mmr,popularity,recall,200,0.0,0.0,0.0,0,0,200,,1.0,1.0,False,no detectable difference
gift_cards,popularity+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,5.539636872444884e-45,4.7640877103026e-43,True,better on 200/200 decided users
gift_cards,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,1.1474551774346256e-37,9.523877972707392e-36,True,better on 200/200 decided users
gift_cards,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,6.7150330873392804e-37,5.372026469871425e-35,True,better on 200/200 decided users
gift_cards,als,popularity,exposure_parity,200,-1.0,-1.1,-1.0,200,0,0,0.0,7.838729823459293e-35,5.8790473675944696e-33,True,better on 200/200 decided users
gift_cards,itemknn,popularity,exposure_parity,200,0.0,0.0,0.0,72,0,128,0.0,4.232006950324499e-14,2.7084844482076793e-12,True,better on 72/72 decided users
gift_cards,itemknn,popularity,ndcg,200,0.0,0.0,0.0,54,8,138,305.5,2.4868268499415647e-06,0.0001268281693470198,True,better on 54/62 decided users
gift_cards,itemknn+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,39,16,145,440.5,0.005651497448488874,0.19780241069711058,False,no detectable difference
gift_cards,als,popularity,ndcg,200,0.0,0.0,0.0,24,23,153,563.5,0.9957731986619343,1.0,False,no detectable difference
gift_cards,als+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,21,24,155,489.0,0.7473432612307453,1.0,False,no detectable difference
gift_cards,popularity+quota_mmr,popularity,ndcg,200,0.0,0.0,0.0,10,13,177,137.5,0.9877398364710943,1.0,False,no detectable difference
gift_cards,itemknn,popularity,recall,200,0.0,0.0,0.0,39,3,158,64.5,2.7773798106167605e-08,1.4997850977330508e-06,True,better on 39/42 decided users
gift_cards,itemknn+quota_mmr,popularity,recall,200,0.0,0.0,0.0,32,14,154,329.0,0.007955438571009407,0.2625294728433104,False,no detectable difference
