dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
gift_cards,popularity,none,200,126,10,8.039619243632621e-05,0.3035771000013483,0.0,0.0,0.009765625,0.3176206999996793,0.003125,0.3091399000004458,0.0,0.0,8.039619243632621e-05,6.4453125e-05,0.0582075728513028,1.0,0.12,1.5,0.1224489795918367,0.9208979591836736,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,popularity,quota_mmr,200,126,10,7.901390644753477e-05,0.307162099999914,0.0004785604900459,0.3128596999995352,0.0100806451612903,0.314955199999531,0.0028935185185185,0.3107362999999168,0.359375,0.3618893999991996,0.0005575743964934,0.001861745818399,0.0468098256178947,0.6509057566485221,0.085,0.2999999999999999,0.3333333333333333,0.8945306122448979,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,0.0101287786010874
gift_cards,itemknn,none,200,126,10,0.0019904458598726,0.3001512999999249,0.0,0.0,0.0100806451612903,0.3162886000009166,0.002422480620155,0.3099412999999913,0.0,0.0,0.0019904458598726,6.25156289072268e-05,0.1343100368394084,1.0,0.3,1.3575,0.5034013605442177,0.8130612244897959,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,itemknn,quota_mmr,200,126,10,0.0019409937888198,0.3062456999996357,0.0004785604900459,0.3118814999997994,0.0100806451612903,0.3123388000003615,0.002422480620155,0.3130180000007385,0.359375,0.3732798000000912,0.0024195542788658,0.0018593906289072,0.099857817059613,0.7807856838600853,0.205,0.284,0.9387755102040816,0.5254897959183673,0.955,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,0.0163992776852184
gift_cards,als,none,200,126,10,0.609375,0.6062885999999708,0.0,0.0,0.0104166666666666,0.309046299998954,0.0024606299212598,0.307953900000939,0.0,0.0,0.609375,6.438648293963254e-05,0.0531382924907155,1.0,0.13,0.479,0.979591836734694,0.2424557823129251,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,als,quota_mmr,200,126,10,0.609375,0.6079977000008512,0.0004952456418383,0.303304000000935,0.009765625,0.3215160999989166,0.0025,0.3053247999996529,0.421875,0.4273355999994237,0.6098702456418383,0.002170703125,0.0482778408366314,0.9842586195254236,0.115,0.2555,0.979591836734694,0.2461088435374149,0.895,0,0.3,1.0,200.0,user history in a small catalogue,0.63,0,200,ok,,,147,456,0.037265783506385,True,1.9,0.0033743268938807
software,popularity,none,200,200,10,0.000103101286704,0.3030318000000989,0.0,0.0,0.0104166666666666,0.3158599999987928,0.0066489361702127,0.3118506999999226,0.0,0.0,0.000103101286704,8.532801418439717e-05,0.0035115884201013,1.0,0.01,1.5,0.0206327372764786,0.9852874828060524,0.29,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,1.9,
software,popularity,quota_mmr,200,200,10,9.63020030816641e-05,0.3093900999992911,0.0089285714285714,0.3141125999991345,0.0107758620689655,0.3109905999990587,0.0066489361702127,0.3150243000000046,0.46875,0.4764484000006632,0.009024873431653,0.0024308739911958,0.0019342640361727,0.8890298858628182,0.005,1.0,0.030261348005502,0.9840811554332874,0.29,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,1.9,0.0815823369354885
software,itemknn,none,200,200,10,0.021875,0.3259797999999136,0.0,0.0,0.0111607142857142,0.320640199999616,0.0071022727272727,0.3070330999998987,0.0,0.0,0.021875,9.131493506493504e-05,0.095418235577768,1.0,0.16,0.9405,0.5708390646492435,0.7336946354883082,0.54,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,1.9,
software,itemknn,quota_mmr,200,200,10,0.021875,0.3284146000005421,0.0089285714285714,0.3133520000010321,0.011574074074074,0.3094158000003517,0.0067934782608695,0.3139658000000054,0.640625,0.6472034999987955,0.0308035714285714,0.0032949627616747,0.0949012878512257,0.908016244332094,0.155,0.2654999999999999,0.7785419532324622,0.575353507565337,0.54,0,0.3,1.0,,,,0,200,ok,,,727,1779,0.0077884040691763,True,1.9,0.0056456153803386
