user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
0,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
1,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
2,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
4,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
6,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
8,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
9,0.2890648263178879,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
10,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
17,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
19,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
20,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
21,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
23,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
24,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
25,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
28,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
29,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
33,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
34,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
36,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
37,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
41,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
43,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
46,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
49,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
50,0.3333333333333333,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
52,0.3010299956639812,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
55,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
57,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
66,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
70,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
75,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
76,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
77,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
78,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
79,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
80,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
86,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
88,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
92,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
97,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
101,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
109,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
110,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
113,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
115,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
116,0.6309297535714575,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
118,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
119,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
120,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
122,0.3333333333333333,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
123,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
124,0.3154648767857287,1.0,1.0,1.5,gift_cards,popularity,none,0,200,
125,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
132,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
133,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
135,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
139,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
141,0.0,1.0,0.0,1.5,gift_cards,popularity,none,0,200,
