stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3120139000020572,0.3125,0.3125,0.0,1.0015579434055328,338853888,3695,8.457374830852504e-05,gift_cards,0,,gift_cards,popularity,none,0
retrieve_score,popularity,0.3189505999980611,0.3125,0.3125,0.0,0.9797755514549892,338853888,30,0.0104166666666666,gift_cards,0,,gift_cards,popularity,none,0
retrieve_select,popularity,0.308868899999652,0.3125,0.28125,0.03125,1.011756120478145,338853888,92,0.0033967391304347,gift_cards,0,,gift_cards,popularity,none,0
train,popularity,0.3065362999986973,0.3125,0.296875,0.015625,1.0194551183704117,338853888,3691,8.466540232999188e-05,gift_cards,0,,gift_cards,popularity,quota_mmr,0
rerank_setup,popularity,0.3118456000011065,0.3125,0.3125,0.0,1.0020984743696597,338853888,633,0.0004936808846761,gift_cards,0,,gift_cards,popularity,quota_mmr,0
retrieve_score,popularity,0.3219065999946906,0.3125,0.3125,0.0,0.9707784804820846,338853888,30,0.0104166666666666,gift_cards,0,,gift_cards,popularity,quota_mmr,0
retrieve_select,popularity,0.3035075000007055,0.3125,0.296875,0.015625,1.0296285923717654,338853888,106,0.0029481132075471,gift_cards,0,,gift_cards,popularity,quota_mmr,0
rerank,popularity,0.3588945000010426,0.359375,0.359375,0.0,1.0013388335540276,338853888,1,0.359375,gift_cards,0,,gift_cards,popularity,quota_mmr,0
train,itemknn,0.3001883000033558,0.3125,0.3125,0.0,1.041013257333835,338853888,141,0.0022163120567375,gift_cards,0,,gift_cards,itemknn,none,0
retrieve_score,itemknn,0.3178382000041893,0.3125,0.3125,0.0,0.9832046619817288,338853888,28,0.0111607142857142,gift_cards,0,,gift_cards,itemknn,none,0
retrieve_select,itemknn,0.3084371000004466,0.3125,0.3125,0.0,1.0131725398778144,338853888,117,0.0026709401709401,gift_cards,0,,gift_cards,itemknn,none,0
train,itemknn,0.3045037999982014,0.3125,0.3125,0.0,1.0262597708200876,338853888,149,0.0020973154362416,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
rerank_setup,itemknn,0.3100362999975914,0.3125,0.3125,0.0,1.0079464888544591,338853888,615,0.0005081300813008,gift_cards,0,,gift_cards,itemknn,quota_mmr,0
