a,b,n_requests,lo,hi,replicates_crossing,repeats,stable,cheaper_below,cheaper_above
popularity,popularity+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,itemknn,,,,0.0,5,False,popularity,popularity
popularity,itemknn+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,als,,,,0.0,5,False,popularity,popularity
popularity,als+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,multvae,,,,0.0,5,False,popularity,popularity
popularity,multvae+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity,gru4rec,,,,0.0,5,False,popularity,popularity
popularity,gru4rec+quota_mmr,,,,0.0,5,False,popularity,popularity
popularity+quota_mmr,itemknn,45.014081470123394,40.614528069758784,51.73229264887393,1.0,5,True,popularity+quota_mmr,itemknn
popularity+quota_mmr,itemknn+quota_mmr,16985.410065560656,2105.8229714477197,16985.410065560656,0.038,5,False,popularity+quota_mmr,itemknn+quota_mmr
popularity+quota_mmr,als,2322.3639362243616,2173.2978580909203,2437.180247699555,1.0,5,True,popularity+quota_mmr,als
popularity+quota_mmr,als+quota_mmr,,,,0.0,5,False,popularity+quota_mmr,popularity+quota_mmr
popularity+quota_mmr,multvae,1772.4580683041977,1637.2243708085985,2630.2950539010462,1.0,5,True,popularity+quota_mmr,multvae
popularity+quota_mmr,multvae+quota_mmr,,,,0.0,5,False,popularity+quota_mmr,popularity+quota_mmr
popularity+quota_mmr,gru4rec,266192.895766512,240565.64526995976,339059.54216306604,1.0,5,True,popularity+quota_mmr,gru4rec
popularity+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,popularity+quota_mmr,popularity+quota_mmr
itemknn,itemknn+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,als,213899.9999997261,121711.53073524202,14968800.000153765,0.9435,5,True,itemknn,als
itemknn,als+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,multvae,,,,0.0,5,False,itemknn,itemknn
itemknn,multvae+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn,gru4rec,,,,0.0,5,False,itemknn,itemknn
itemknn,gru4rec+quota_mmr,,,,0.0,5,False,itemknn,itemknn
itemknn+quota_mmr,als,2109.525483304069,1928.3642920825596,2241.846309916311,1.0,5,True,itemknn+quota_mmr,als
itemknn+quota_mmr,als+quota_mmr,,,,0.0,5,False,itemknn+quota_mmr,itemknn+quota_mmr
itemknn+quota_mmr,multvae,1585.1460415065467,1400.4327131111986,2357.167563412779,1.0,5,True,itemknn+quota_mmr,multvae
itemknn+quota_mmr,multvae+quota_mmr,,,,0.0,5,False,itemknn+quota_mmr,itemknn+quota_mmr
itemknn+quota_mmr,gru4rec,243623.41160220306,212279.00890271208,306066.6038751381,1.0,5,True,itemknn+quota_mmr,gru4rec
itemknn+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,itemknn+quota_mmr,itemknn+quota_mmr
als,als+quota_mmr,6.2374526571008095,1.2255720362564013,16.669974558139334,0.2205,5,False,als+quota_mmr,als
als,multvae,4968.539325842876,815.730337078681,6345.0000000004065,1.0,5,True,multvae,als
als,multvae+quota_mmr,340.3289549203853,209.79771570111606,390.5225409836099,1.0,5,True,multvae+quota_mmr,als
als,gru4rec,,,,0.0,5,False,als,als
als,gru4rec+quota_mmr,,,,0.0,5,False,als,als
als+quota_mmr,multvae,,,,0.0,5,False,multvae,multvae
als+quota_mmr,multvae+quota_mmr,967.9814385151197,606.2226631194484,1088.286544046456,1.0,5,True,multvae+quota_mmr,als+quota_mmr
als+quota_mmr,gru4rec,190709.6614368307,178596.30484988593,236786.99910953018,1.0,5,True,als+quota_mmr,gru4rec
als+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,als+quota_mmr,als+quota_mmr
multvae,multvae+quota_mmr,288.5761589403986,152.98013245033178,331.0344827586207,0.0585,5,False,multvae+quota_mmr,multvae
multvae,gru4rec,,,,0.0,5,False,multvae,multvae
multvae,gru4rec+quota_mmr,,,,0.0,5,False,multvae,multvae
multvae+quota_mmr,gru4rec,102298.33641404854,99943.39622641509,122474.42307692367,1.0,5,True,multvae+quota_mmr,gru4rec
multvae+quota_mmr,gru4rec+quota_mmr,,,,0.0,5,False,multvae+quota_mmr,multvae+quota_mmr
gru4rec,gru4rec+quota_mmr,9510.0,7964.835164835053,12122.807017543859,0.0585,5,False,gru4rec+quota_mmr,gru4rec
