family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,5,0.0527225807997784,0.105,1.1855000000000002,0.0001581477732793,0.0001046316964285,0.10893533316953104,0.04525252525304851,0.0001581477732793,0.0,0.0111607142857142,0.009765625,0.0
als,none,5,0.0685136534080465,0.155,0.8280000000000001,5.78125,0.0001515151515151,0.07567567567567568,0.5740416082284153,5.78125,0.0,0.0208333333333333,0.009765625,0.0
itemknn,none,5,0.0471215195017992,0.1,1.1425,0.1953125,0.0001775568181818,0.12,0.09333333333295041,0.1953125,0.0,0.0260416666666666,0.0094696969696969,0.0
multvae,none,5,0.0448168770048439,0.1,0.9745,3.6875,0.0005729166666666,0.5,0.20129870129875793,3.6875,0.0,0.0625,0.0446428571428571,0.0
gru4rec,none,5,0.0995147995288019,0.185,0.9025,417.859375,0.0010416666666666,0.15166585648580938,0.22500000000001438,417.859375,0.0,0.15625,0.0520833333333333,0.0
popularity,quota_mmr,5,0.0517239603432495,0.095,0.2504999999999999,0.0860917448173741,0.0026074446386946,0.0908719933986097,0.0926776987838873,0.0001579080343607,0.0859375,0.0120192307692307,0.0094696969696969,0.5
itemknn,quota_mmr,5,0.05286461796735,0.105,0.248,0.28515625,0.0027587365591397,0.0273972602739726,0.11674371608901826,0.1953125,0.08984375,0.0260416666666666,0.0094696969696969,0.515625
als,quota_mmr,5,0.0489981601915242,0.105,0.2575,5.88671875,0.0031918797348484,0.0491041804910418,0.052389112323131544,5.796875,0.08984375,0.0178571428571428,0.009765625,0.609375
multvae,quota_mmr,5,0.0489264170590278,0.1,0.246,4.140625,0.0050669642857142,0.19622641509433963,0.030837004405286892,3.765625,0.375,0.078125,0.0446428571428571,0.890625
gru4rec,quota_mmr,5,0.0860173663167821,0.16,0.262,433.421875,0.0059375,0.03745628897941526,0.05921052631578938,432.984375,0.4375,0.15625,0.0520833333333333,0.96875
