repeat,dataset,config,reference,metric,n_users,median_diff,ci_lo,ci_hi,better,worse,tied,statistic,p_raw,p_holm,significant,repeats_significant,repeats_tested,verdict
0,digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,1.2664091988408036e-37,1.0384555430494589e-35,True,5,5,better on 200/200 decided users
3,digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,3.5151695175983995e-37,2.8366575884938007e-35,True,5,5,better on 200/200 decided users
4,digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,4.8578819535239725e-37,3.886305562819178e-35,True,5,5,better on 200/200 decided users
1,digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,5.875638991128793e-37,4.7005111929030343e-35,True,5,5,better on 200/200 decided users
2,digital_music,itemknn+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,9.288594182819938e-37,7.337989404427751e-35,True,5,5,better on 200/200 decided users
3,digital_music,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.2,200,0,0,0.0,1.2854934766264812e-36,1.0026849117686555e-34,True,5,5,better on 200/200 decided users
4,digital_music,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.1,200,0,0,0.0,2.976118132394356e-36,2.3213721432675976e-34,True,5,5,better on 200/200 decided users
1,digital_music,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-0.9,200,0,0,0.0,4.8519437913293886e-36,3.784516157236923e-34,True,5,5,better on 200/200 decided users
0,digital_music,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-1.1,200,0,0,0.0,5.3128263397731235e-36,4.1440045450230365e-34,True,5,5,better on 200/200 decided users
2,digital_music,als+quota_mmr,popularity,exposure_parity,200,-1.2,-1.2,-0.9,200,0,0,0.0,9.756359608125552e-36,7.60996049433793e-34,True,5,5,better on 200/200 decided users
1,digital_music,itemknn,popularity,exposure_parity,200,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,117,0,83,0.0,3.525630165692987e-21,2.3269159093573716e-19,True,5,5,better on 117/117 decided users
4,digital_music,itemknn,popularity,exposure_parity,200,-0.19999999999999996,-0.29999999999999993,0.0,110,0,90,0.0,6.94496257591325e-20,4.583675300102745e-18,True,5,5,better on 110/110 decided users
