stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.299643999998807,0.3125,0.296875,0.015625,1.042904246376514,104067072,1871,0.0001670229823623,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3136024999985238,0.3125,0.296875,0.015625,0.9964844030308144,104067072,54,0.005787037037037,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3126652999999351,0.3125,0.234375,0.078125,0.999471319650965,104067072,70,0.0044642857142857,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.2998167999976431,0.3125,0.3125,0.0,1.042303166475183,104067072,1884,0.0001658704883227,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank_setup,popularity,0.3877166999991459,0.375,0.3125,0.0625,0.9672010516978662,146051072,4,0.09375,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_score,popularity,0.305863199999294,0.3125,0.3125,0.0,1.021698589437112,146051072,53,0.0058962264150943,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_select,popularity,0.306228800000099,0.3125,0.1875,0.125,1.020478805389627,146051072,70,0.0044642857142857,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank,popularity,0.3139862000025459,0.3125,0.265625,0.046875,0.9952666709475324,286646272,19,0.0164473684210526,ml100k,0,,ml100k,popularity,greedy_topk,0
train,popularity,0.298399999999674,0.3125,0.3125,0.0,1.0472520107250043,286650368,1810,0.0001726519337016,ml100k,0,,ml100k,popularity,mmr,0
rerank_setup,popularity,0.3630630000006931,0.359375,0.296875,0.0625,0.989841983345353,286650368,4,0.08984375,ml100k,0,,ml100k,popularity,mmr,0
retrieve_score,popularity,0.3123363999984576,0.3125,0.3125,0.0,1.0005237942216891,286650368,51,0.0061274509803921,ml100k,0,,ml100k,popularity,mmr,0
retrieve_select,popularity,0.3246973999994225,0.3125,0.28125,0.03125,0.962434562150962,286650368,54,0.005787037037037,ml100k,0,,ml100k,popularity,mmr,0
rerank,popularity,0.4334473999988404,0.421875,0.421875,0.0,0.9733014894105458,286650368,2,0.2109375,ml100k,0,,ml100k,popularity,mmr,0
train,popularity,0.2986032000007981,0.3125,0.3125,0.0,1.0465393538956205,286650368,1447,0.00021596406357982033,ml100k,0,null,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.33639190000030794,0.3125,0.265625,0.046875,0.9289759949621674,286650368,3,0.10416666666666667,ml100k,0,null,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3243648999996367,0.3125,0.296875,0.015625,0.9634211346552911,286650368,48,0.006510416666666667,ml100k,0,null,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.31225650000124006,0.3125,0.203125,0.109375,1.000779807622128,286650368,59,0.005296610169491525,ml100k,0,null,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3191329000001133,0.3125,0.3125,0.0,0.9792158689996834,286650368,2,0.15625,ml100k,0,null,ml100k,popularity,quota_mmr,0
