a,b,n_requests,lo,hi,replicates_crossing,repeats,stable,cheaper_below,cheaper_above
popularity,popularity+greedy_topk,,,,0.0,3,False,popularity,popularity
popularity,popularity+mmr,,,,0.0,3,False,popularity,popularity
popularity,popularity+quota_mmr,,,,0.0,3,False,popularity,popularity
popularity,popularity+qubo_feasible,,,,0.0,3,False,popularity,popularity
popularity,popularity+qubo_tabu,,,,0.0,3,False,popularity,popularity
popularity,itemknn,,,,0.0,3,False,popularity,popularity
popularity,itemknn+greedy_topk,,,,0.0,3,False,popularity,popularity
popularity,itemknn+mmr,,,,0.0,3,False,popularity,popularity
popularity,itemknn+quota_mmr,,,,0.0,3,False,popularity,popularity
popularity,itemknn+qubo_feasible,,,,0.0,3,False,popularity,popularity
popularity,itemknn+qubo_tabu,,,,0.0,3,False,popularity,popularity
popularity,als,,,,0.0,3,False,popularity,popularity
popularity,als+greedy_topk,,,,0.0,3,False,popularity,popularity
popularity,als+mmr,,,,0.0,3,False,popularity,popularity
popularity,als+quota_mmr,,,,0.0,3,False,popularity,popularity
popularity,als+qubo_feasible,,,,0.0,3,False,popularity,popularity
popularity,als+qubo_tabu,,,,0.0,3,False,popularity,popularity
popularity+greedy_topk,popularity+mmr,0.0005708591834302367,5.310976018878523e-05,2.523654076289463,0.6295,3,False,popularity+mmr,popularity+greedy_topk
popularity+greedy_topk,popularity+quota_mmr,0.02053615931228629,0.006373537346571812,4.227593009661158,0.3805,3,False,popularity+quota_mmr,popularity+greedy_topk
popularity+greedy_topk,popularity+qubo_feasible,5.760882952116922e-05,1.6584416225002414e-05,0.012992531473754718,0.2605,3,False,popularity+qubo_feasible,popularity+greedy_topk
popularity+greedy_topk,popularity+qubo_tabu,1.47749515692296e-05,1.1772670277816833e-05,0.01610859555309776,0.6295,3,False,popularity+qubo_tabu,popularity+greedy_topk
popularity+greedy_topk,itemknn,1336.3761903823922,855.5995855587666,1771.7067639497677,1.0,3,True,popularity+greedy_topk,itemknn
popularity+greedy_topk,itemknn+greedy_topk,,,,0.0,3,False,popularity+greedy_topk,popularity+greedy_topk
popularity+greedy_topk,itemknn+mmr,,,,0.0,3,False,popularity+greedy_topk,popularity+greedy_topk
popularity+greedy_topk,itemknn+quota_mmr,,,,0.0,3,False,popularity+greedy_topk,popularity+greedy_topk
popularity+greedy_topk,itemknn+qubo_feasible,,,,0.0,3,False,popularity+greedy_topk,popularity+greedy_topk
popularity+greedy_topk,itemknn+qubo_tabu,,,,0.0,3,False,popularity+greedy_topk,popularity+greedy_topk
popularity+greedy_topk,als,42647.494083642494,33577.673392740304,58818.305970984955,1.0,3,True,popularity+greedy_topk,als
