family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,greedy_topk,3,0.00020833333333333302,0.000338879870129869,0.6272401433691789,0.0638315481905817,0.8440000000000001,0.14,False,1.0
als,quota_mmr,3,0.001458333333333333,0.001659873188405796,0.8633496846531188,0.0591161935804822,0.2549999999999999,0.11,False,7.000000000000009
als,mmr,3,0.001875,0.002032970470470469,0.9402401563808995,0.0734674644354182,0.768,0.13,False,9.000000000000012
als,qubo_tabu,3,0.24359375,0.24375172047047047,0.9993519205929478,0.0634348465959918,0.1999999999999999,0.1,True,1169.2500000000018
als,qubo_feasible,3,0.31859375,0.3187748015873016,0.9994320392126352,0.0657505068152487,0.1999999999999999,0.1,False,1529.2500000000023
itemknn,greedy_topk,3,0.00015625,0.00033996212121211995,0.45961002785515487,0.0468427071046376,1.138,0.09,False,1.0
itemknn,quota_mmr,3,0.001145833333333333,0.0013284632034632022,0.8625254582484732,0.0522762573377905,0.245,0.1,False,7.33333333333333
itemknn,mmr,3,0.001796875,0.001976147342995168,0.9069607955194887,0.0629389997978768,1.0179999999999998,0.14,False,11.5
itemknn,qubo_tabu,3,0.244375,0.24455821805006586,0.9992508203096723,0.065013553195951,0.1999999999999999,0.14,True,1564.0
itemknn,qubo_feasible,3,0.31125,0.3114155844155844,0.9994682847491555,0.049991982098056,0.1999999999999999,0.12,False,1992.0000000000002
popularity,greedy_topk,3,0.000164473684210526,0.000268078805504326,0.6135273689432784,0.0398160089153419,1.204,0.08,False,1.0
popularity,quota_mmr,3,0.00109375,0.0011998020361990939,0.9155920281359915,0.0506780227876668,0.263,0.11,False,6.650000000000014
popularity,mmr,3,0.001875,0.001980288594310963,0.9465363171160165,0.0464352840014147,0.968,0.1,False,11.400000000000022
popularity,qubo_tabu,3,0.243125,0.24323474702380954,0.999572789690269,0.0452234320185648,0.1999999999999999,0.1,True,1478.200000000003
popularity,qubo_feasible,3,0.32796875,0.3280829287360105,0.9996605257389386,0.0409417588848189,0.1999999999999999,0.07,False,1994.0500000000038
