dataset,config,reference,metric,n_users,median_diff,ci_lo,ci_hi,better,worse,tied,statistic,p_raw,p_holm,significant,verdict
ml100k,itemknn,itemknn+quota_mmr,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.0,0,100,0,0.0,3.2123037940237005e-18,2.0689254632386468e-16,True,worse on 0/100 decided users
ml100k,itemknn+greedy_topk,itemknn+quota_mmr,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.0,0,100,0,0.0,3.2123037940237005e-18,2.0689254632386468e-16,True,worse on 0/100 decided users
ml100k,itemknn+mmr,itemknn+quota_mmr,exposure_parity,100,0.8,0.7,0.9000000000000001,0,100,0,0.0,3.295680584053342e-18,2.0689254632386468e-16,True,worse on 0/100 decided users
ml100k,popularity+mmr,itemknn+quota_mmr,exposure_parity,100,0.7,0.7,0.8,0,100,0,0.0,3.18296225113638e-18,2.0689254632386468e-16,True,worse on 0/100 decided users
ml100k,popularity,itemknn+quota_mmr,exposure_parity,100,1.0,1.0,1.1,0,99,1,0.0,4.564994184427916e-18,2.4925235836102504e-16,True,worse on 0/99 decided users
ml100k,popularity+greedy_topk,itemknn+quota_mmr,exposure_parity,100,1.0,1.0,1.1,0,99,1,0.0,4.564994184427916e-18,2.4925235836102504e-16,True,worse on 0/99 decided users
ml100k,als,itemknn+quota_mmr,exposure_parity,100,0.6000000000000001,0.5,0.7,1,96,3,2.5,1.2077905931720897e-17,6.159732025177658e-16,True,worse on 1/97 decided users
ml100k,als+greedy_topk,itemknn+quota_mmr,exposure_parity,100,0.6000000000000001,0.5,0.7,1,96,3,2.5,1.2077905931720897e-17,6.159732025177658e-16,True,worse on 1/97 decided users
ml100k,als+mmr,itemknn+quota_mmr,exposure_parity,100,0.49999999999999994,0.39999999999999997,0.6000000000000001,3,93,4,7.5,2.0070280327582235e-17,9.633734557239474e-16,True,worse on 3/96 decided users
ml100k,als+qubo_feasible,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,als+qubo_tabu,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,itemknn+qubo_feasible,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,itemknn+qubo_tabu,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,popularity+qubo_feasible,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,popularity+qubo_tabu,itemknn+quota_mmr,exposure_parity,100,0.0,-0.09999999999999998,0.0,44,0,56,0.0,3.2837586498733825e-11,1.4776913924430222e-09,True,better on 44/44 decided users
ml100k,popularity+quota_mmr,itemknn+quota_mmr,exposure_parity,100,0.0,0.0,0.0,14,33,53,336.0,0.005580984136839312,0.20649641306305455,False,no detectable difference
ml100k,als+quota_mmr,itemknn+quota_mmr,exposure_parity,100,0.0,0.0,0.0,18,29,53,432.0,0.10860060138221973,1.0,False,no detectable difference
ml100k,als+mmr,itemknn+quota_mmr,intra_list_similarity,100,-0.2281706777323484,-0.2527070194383032,-0.2155923264145026,100,0,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,better on 100/100 decided users
ml100k,als+qubo_feasible,itemknn+quota_mmr,intra_list_similarity,100,-0.279852354700978,-0.2962649776966017,-0.2670880985783806,100,0,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,better on 100/100 decided users
ml100k,als+qubo_tabu,itemknn+quota_mmr,intra_list_similarity,100,-0.28025546190010386,-0.29809721984465026,-0.26512840354895484,100,0,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,better on 100/100 decided users
ml100k,als+quota_mmr,itemknn+quota_mmr,intra_list_similarity,100,-0.23001355735450896,-0.2607704807939888,-0.2127278009097738,100,0,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,better on 100/100 decided users
ml100k,itemknn+greedy_topk,itemknn+quota_mmr,intra_list_similarity,100,0.08177060885105658,0.07642555119911654,0.09371947173975576,0,100,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,worse on 0/100 decided users
ml100k,itemknn+qubo_feasible,itemknn+quota_mmr,intra_list_similarity,100,-0.06637906279428646,-0.07588212227832802,-0.05975724915355221,100,0,0,0.0,3.8965598450959084e-18,2.376901505508504e-16,True,better on 100/100 decided users
ml100k,itemknn+qubo_tabu,itemknn+quota_mmr,intra_list_similarity,100,-0.06812820912331352,-0.0787080199028874,-0.059306313404554,99,1,0,5.0,4.531861061109546e-18,2.4925235836102504e-16,True,better on 99/100 decided users
ml100k,als+greedy_topk,itemknn+quota_mmr,intra_list_similarity,100,-0.1289335150403676,-0.15240895334047935,-0.10788783083091522,98,2,0,24.0,8.023842397878198e-18,4.172398046896663e-16,True,better on 98/100 decided users
ml100k,itemknn+mmr,itemknn+quota_mmr,intra_list_similarity,100,0.0360369637406803,0.029036870084532762,0.045297940003486026,5,95,0,52.0,1.8478899002670448e-17,9.05466051130852e-16,True,worse on 5/100 decided users
ml100k,popularity+qubo_feasible,itemknn+quota_mmr,intra_list_similarity,100,-0.09558507603669605,-0.12077000619709083,-0.0763082831278952,84,16,0,469.0,1.5583405211656375e-12,7.324200449478496e-11,True,better on 84/100 decided users
ml100k,popularity+qubo_tabu,itemknn+quota_mmr,intra_list_similarity,100,-0.09018297793462152,-0.10719877418701607,-0.06847843453649888,81,19,0,498.0,3.181045118874714e-12,1.4632807546823684e-10,True,better on 81/100 decided users
ml100k,popularity+greedy_topk,itemknn+quota_mmr,intra_list_similarity,100,0.0482002056237488,0.028514813975380693,0.06780124437639773,29,71,0,750.0,1.0407851434822438e-09,4.059062059580751e-08,True,worse on 29/100 decided users
ml100k,popularity+quota_mmr,itemknn+quota_mmr,intra_list_similarity,100,-0.047973388559553076,-0.06792451178834047,-0.03071993652443311,75,25,0,1464.0,0.0002642252066087543,0.010040557851132663,True,better on 75/100 decided users
ml100k,popularity+mmr,itemknn+quota_mmr,intra_list_similarity,100,0.009167924540017136,-0.009029540158600802,0.03298366767955091,47,53,0,1902.0,0.032187336447175634,1.0,False,no detectable difference
ml100k,als,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,13,7,80,87.0,0.500956596054408,1.0,False,no detectable difference
ml100k,als+greedy_topk,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,13,7,80,87.0,0.500956596054408,1.0,False,no detectable difference
ml100k,als+mmr,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,13,7,80,84.0,0.43216468570569355,1.0,False,no detectable difference
ml100k,als+qubo_feasible,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,8,7,85,57.5,0.886517960546981,1.0,False,no detectable difference
ml100k,als+qubo_tabu,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,10,7,83,64.0,0.5526397671841796,1.0,False,no detectable difference
ml100k,als+quota_mmr,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,11,6,83,64.0,0.5532547662517007,1.0,False,no detectable difference
ml100k,itemknn,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,3,6,91,14.0,0.31266128939291216,1.0,False,no detectable difference
ml100k,itemknn+greedy_topk,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,3,6,91,14.0,0.31266128939291216,1.0,False,no detectable difference
ml100k,itemknn+mmr,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,7,5,88,24.5,0.25497454109844864,1.0,False,no detectable difference
ml100k,itemknn+qubo_feasible,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,6,5,89,27.0,0.5929800980174267,1.0,False,no detectable difference
ml100k,itemknn+qubo_tabu,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,11,3,86,37.5,0.34601664958004963,1.0,False,no detectable difference
ml100k,popularity,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,5,7,88,28.5,0.4079446987715286,1.0,False,no detectable difference
ml100k,popularity+greedy_topk,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,5,7,88,28.5,0.4079446987715286,1.0,False,no detectable difference
ml100k,popularity+mmr,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,7,7,86,43.5,0.5709413320717605,1.0,False,no detectable difference
ml100k,popularity+qubo_feasible,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,8,6,86,50.5,0.8998154197988204,1.0,False,no detectable difference
ml100k,popularity+qubo_tabu,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,4,7,89,23.5,0.3971359414122917,1.0,False,no detectable difference
ml100k,popularity+quota_mmr,itemknn+quota_mmr,ndcg,100,0.0,0.0,0.0,5,7,88,29.5,0.45525757997262617,1.0,False,no detectable difference
ml100k,als,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,10,6,84,51.0,0.31731050786291415,1.0,False,no detectable difference
ml100k,als+greedy_topk,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,10,6,84,51.0,0.31731050786291415,1.0,False,no detectable difference
ml100k,als+mmr,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,10,7,83,63.0,0.46685427082272546,1.0,False,no detectable difference
ml100k,als+qubo_feasible,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,5,7,88,32.5,0.5637028616507731,1.0,False,no detectable difference
ml100k,als+qubo_tabu,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,7,7,86,52.5,1.0,1.0,False,no detectable difference
ml100k,als+quota_mmr,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,7,6,87,42.0,0.7815112949987133,1.0,False,no detectable difference
ml100k,itemknn,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,3,4,93,12.0,0.7054569861112734,1.0,False,no detectable difference
ml100k,itemknn+greedy_topk,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,3,4,93,12.0,0.7054569861112734,1.0,False,no detectable difference
ml100k,itemknn+mmr,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,6,1,93,4.0,0.05878172135535886,1.0,False,no detectable difference
ml100k,itemknn+qubo_feasible,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,2,5,93,8.0,0.25683925795785656,1.0,False,no detectable difference
ml100k,itemknn+qubo_tabu,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,5,3,92,13.5,0.47950012218695337,1.0,False,no detectable difference
ml100k,popularity,itemknn+quota_mmr,recall,100,0.0,0.0,0.0,4,5,91,20.0,0.7388826803635273,1.0,False,no detectable difference
