stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3068701999982295,0.3125,0.296875,0.015625,1.0183458674117036,103436288,1722,0.000181475029036,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3185607000013988,0.3125,0.3125,0.0,0.9809747404454718,103436288,54,0.005787037037037,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.3106420999974943,0.3125,0.234375,0.078125,1.005980837763203,103436288,73,0.0042808219178082,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3091333999982453,0.3125,0.3125,0.0,1.0108904440664574,103436288,1902,0.0001643007360672,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank_setup,popularity,0.3624884999990172,0.359375,0.296875,0.0625,0.9914107619992754,146104320,4,0.08984375,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_score,popularity,0.3103608999990683,0.3125,0.28125,0.03125,1.0068922986140911,146104320,51,0.0061274509803921,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_select,popularity,0.3122164999986125,0.3125,0.28125,0.03125,1.000908023763602,146104320,73,0.0042808219178082,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank,popularity,0.3075715999984822,0.3125,0.265625,0.046875,1.0160235860578222,295292928,20,0.015625,ml100k,0,,ml100k,popularity,greedy_topk,0
train,popularity,0.3015873000003921,0.3125,0.3125,0.0,1.0361842159785697,295297024,1870,0.0001671122994652,ml100k,0,,ml100k,popularity,mmr,0
rerank_setup,popularity,0.3696937999993679,0.359375,0.328125,0.03125,0.9720882524960236,295297024,4,0.08984375,ml100k,0,,ml100k,popularity,mmr,0
retrieve_score,popularity,0.3056825999992725,0.3125,0.296875,0.015625,1.0223022180547527,295297024,52,0.0060096153846153,ml100k,0,,ml100k,popularity,mmr,0
retrieve_select,popularity,0.3088801000012608,0.3125,0.234375,0.078125,1.0117194341711375,295297024,72,0.0043402777777777,ml100k,0,,ml100k,popularity,mmr,0
rerank,popularity,0.3645725000023958,0.359375,0.359375,0.0,0.9857435763740774,295297024,2,0.1796875,ml100k,0,,ml100k,popularity,mmr,0
train,popularity,0.3013275000012072,0.3125,0.3125,0.0,1.03707759829006,295297024,1740,0.0001795977011494,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3642762999988918,0.359375,0.3125,0.046875,0.9865451032666503,295297024,4,0.08984375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3433631999978388,0.3125,0.296875,0.015625,0.9101150035937658,295297024,54,0.005787037037037,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3084364999995159,0.3125,0.21875,0.09375,1.013174510800409,295297024,74,0.0042229729729729,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3747038000001339,0.375,0.34375,0.03125,1.000790491048839,295297024,3,0.125,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3007700999987719,0.3125,0.296875,0.015625,1.0389995548137132,295297024,1903,0.0001642143983184,ml100k,0,,ml100k,popularity,balanced_quota,0
rerank_setup,popularity,0.3614706000007572,0.359375,0.328125,0.03125,0.9942025713826992,295297024,4,0.08984375,ml100k,0,,ml100k,popularity,balanced_quota,0
retrieve_score,popularity,0.3155465999989246,0.3125,0.28125,0.03125,0.990345007682114,295297024,51,0.0061274509803921,ml100k,0,,ml100k,popularity,balanced_quota,0
retrieve_select,popularity,0.3079796000019996,0.3125,0.203125,0.109375,1.0146775955224665,295297024,71,0.0044014084507042,ml100k,0,,ml100k,popularity,balanced_quota,0
rerank,popularity,0.3216977000010956,0.3125,0.3125,0.0,0.9714088723635128,295297024,3,0.1041666666666666,ml100k,0,,ml100k,popularity,balanced_quota,0
train,popularity,0.3073766999987128,0.3125,0.3125,0.0,1.0166678216055691,295297024,1851,0.0001688276607239,ml100k,0,,ml100k,popularity,qubo_feasible,0
rerank_setup,popularity,0.3620874000007461,0.359375,0.265625,0.09375,0.9925089909211408,295297024,4,0.08984375,ml100k,0,,ml100k,popularity,qubo_feasible,0
retrieve_score,popularity,0.315232000000833,0.3125,0.296875,0.015625,0.9913333671682258,295297024,52,0.0060096153846153,ml100k,0,,ml100k,popularity,qubo_feasible,0
retrieve_select,popularity,0.3074932000017725,0.3125,0.265625,0.046875,1.0162826364882172,295297024,70,0.0044642857142857,ml100k,0,,ml100k,popularity,qubo_feasible,0
rerank,popularity,31.95600939999713,31.6875,31.625,0.0625,0.991597530322508,295297024,1,31.6875,ml100k,0,,ml100k,popularity,qubo_feasible,0
train,popularity,0.2998179999995045,0.3125,0.28125,0.03125,1.042298994725188,295297024,1961,0.0001593574706782,ml100k,0,,ml100k,popularity,qubo_tabu,0
rerank_setup,popularity,0.3585817999992287,0.34375,0.28125,0.0625,0.9586376107229632,295297024,4,0.0859375,ml100k,0,,ml100k,popularity,qubo_tabu,0
retrieve_score,popularity,0.3036060000013094,0.3125,0.296875,0.015625,1.0292945462166498,295297024,49,0.0063775510204081,ml100k,0,,ml100k,popularity,qubo_tabu,0
retrieve_select,popularity,0.3072802999995474,0.3125,0.1875,0.125,1.0169867707121487,295297024,75,0.0041666666666666,ml100k,0,,ml100k,popularity,qubo_tabu,0
rerank,popularity,24.74287650000042,24.265625,24.25,0.015625,0.9807115595472332,295297024,1,24.265625,ml100k,0,,ml100k,popularity,qubo_tabu,0
train,itemknn,0.3853041000002122,0.390625,0.359375,0.03125,1.0138096116801891,295297024,2,0.1953125,ml100k,0,,ml100k,itemknn,none,0
retrieve_score,itemknn,0.3165932000010798,0.3125,0.3125,0.0,0.9870711057563276,295297024,23,0.0135869565217391,ml100k,0,,ml100k,itemknn,none,0
retrieve_select,itemknn,0.3035834999973303,0.3125,0.21875,0.09375,1.029370832086553,295297024,79,0.0039556962025316,ml100k,0,,ml100k,itemknn,none,0
