dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,popularity,none,100,100,10,0.000181475029036,0.3068701999982295,0.0,0.0,0.005787037037037,0.3185607000013988,0.0042808219178082,0.3106420999974943,0.0,0.0,0.000181475029036,0.0001006785895484,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,popularity,greedy_topk,100,100,10,0.0001643007360672,0.3091333999982453,0.08984375,0.3624884999990172,0.0061274509803921,0.3103608999990683,0.0042808219178082,0.3122164999986125,0.015625,0.3075715999984822,0.0900080507360673,0.000260332728982,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4432470984774702,
ml100k,popularity,mmr,100,100,10,0.0001671122994652,0.3015873000003921,0.08984375,0.3696937999993679,0.0060096153846153,0.3056825999992725,0.0043402777777777,0.3088801000012608,0.1796875,0.3645725000023958,0.0900108622994652,0.0019003739316239,0.0464352840014147,0.9980936375403552,0.1,1.1249999999999998,0.0541141586360266,0.9818324684951816,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4326099953648956,
ml100k,popularity,quota_mmr,100,100,10,0.0001795977011494,0.3013275000012072,0.08984375,0.3642762999988918,0.005787037037037,0.3433631999978388,0.0042229729729729,0.3084364999995159,0.125,0.3747038000001339,0.0900233477011494,0.0013501001001001,0.037511468320862,0.9136628238846464,0.07,0.249,0.0541141586360266,0.9836723498888064,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3603843732388654,
ml100k,popularity,balanced_quota,100,100,10,0.0001642143983184,0.3007700999987719,0.08984375,0.3614706000007572,0.0061274509803921,0.3155465999989246,0.0044014084507042,0.3079796000019996,0.1041666666666666,0.3216977000010956,0.0900079643983184,0.0011469552609776,0.037511468320862,0.9097703735169076,0.07,0.1999999999999999,0.056338028169014,0.982724981467754,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3566728080740782,
ml100k,popularity,qubo_feasible,100,100,10,0.0001688276607239,0.3073766999987128,0.08984375,0.3620874000007461,0.0060096153846153,0.315232000000833,0.0044642857142857,0.3074932000017725,31.6875,31.95600939999713,0.0900125776607239,0.316979739010989,0.0298160089153419,0.8164078763835859,0.05,0.1999999999999999,0.1030392883617494,0.9620637509266124,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2899927192977021,
ml100k,popularity,qubo_tabu,100,100,10,0.0001593574706782,0.2998179999995045,0.0859375,0.3585817999992287,0.0063775510204081,0.3036060000013094,0.0041666666666666,0.3072802999995474,24.265625,24.74287650000042,0.0860968574706782,0.2427616921768707,0.0452234320185648,0.8588733984114023,0.08,0.1999999999999999,0.0748702742772424,0.9764981467753892,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3029195698804836,True
ml100k,itemknn,none,100,100,10,0.1953125,0.3853041000002122,0.0,0.0,0.0135869565217391,0.3165932000010798,0.0039556962025316,0.3035834999973303,0.0,0.0,0.1953125,0.0001754265272427,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,itemknn,greedy_topk,100,100,10,0.1875,0.3866827999991074,0.09375,0.3632684999975026,0.0135869565217391,0.3213623999981791,0.0040064102564102,0.3016141999978572,0.0148809523809523,0.3203067999966151,0.28125,0.000324743191591,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4669672043744771,
ml100k,itemknn,mmr,100,100,10,0.1953125,0.3900319999993371,0.09375,0.3678679000004194,0.0135869565217391,0.3176779999994323,0.0040584415584415,0.3080458000004,0.1796875,0.3572133999987272,0.2890625,0.0019733289808018,0.0556343035876352,0.9969793000909672,0.12,1.137,0.0971089696071163,0.955427724240178,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4526825667717237,
ml100k,itemknn,quota_mmr,100,100,10,0.1953125,0.3872673000005306,0.0859375,0.3564636000010068,0.0142045454545454,0.304294800000207,0.0041666666666666,0.3105393000005279,0.125,0.4023796000001312,0.28125,0.0014337121212121,0.0535001304640337,0.9124438129886598,0.1,0.25,0.0956263899184581,0.9586819866567828,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3973609027396275,
ml100k,itemknn,balanced_quota,100,100,10,0.203125,0.425283099997614,0.09375,0.3753364000003785,0.0148809523809523,0.3053660999976273,0.0044014084507042,0.3104653000009421,0.125,0.39735809999911,0.296875,0.0014428236083165,0.0535001304640337,0.9049393105947172,0.1,0.1999999999999999,0.0971089696071163,0.9576916234247592,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3932333203236722,
ml100k,itemknn,qubo_feasible,100,100,10,0.2109375,0.4191203000009409,0.09765625,0.3934315000005881,0.0173611111111111,0.307818600002065,0.0052083333333333,0.3061248999983945,31.90625,32.10268349999751,0.30859375,0.3192881944444444,0.0514608647706439,0.7688051655929421,0.09,0.1999999999999999,0.1549295774647887,0.9272616753150482,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3005035368004611,
ml100k,itemknn,qubo_tabu,100,100,10,0.21875,0.4396701000005123,0.09765625,0.3916094999985944,0.0148809523809523,0.3166031000000657,0.0046641791044776,0.3154785999977321,24.359375,24.679905099997995,0.31640625,0.2437892013148543,0.0585841495553882,0.8029431758919893,0.12,0.1999999999999999,0.1356560415122313,0.9365189028910303,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3055540283168309,True
ml100k,als,none,100,100,10,3.4375,3.4374158999999054,0.0,0.0,0.0069444444444444,0.3034423999997671,0.0042229729729729,0.3096345000012661,0.0,0.0,3.4375,0.0001116741741741,0.0737983358012655,1.0,0.14,0.8440000000000001,0.3232023721275018,0.8087472201630838,0.51,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
