stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,popularity,0.3029797000053804,0.3125,0.296875,0.015625,1.0314222371810735,103919616,1806,0.000173034330011,ml100k,0,,ml100k,popularity,none,0
retrieve_score,popularity,0.3181066999968607,0.3125,0.3125,0.0,0.9823747818046082,103919616,50,0.00625,ml100k,0,,ml100k,popularity,none,0
retrieve_select,popularity,0.308292400004575,0.3125,0.25,0.0625,1.0136480821303495,103919616,70,0.0044642857142857,ml100k,0,,ml100k,popularity,none,0
train,popularity,0.3023986000043805,0.3125,0.3125,0.0,1.03340425516346,103919616,1888,0.0001655190677966,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank_setup,popularity,0.3697406999999657,0.359375,0.28125,0.078125,0.9719649473266896,145485824,4,0.08984375,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_score,popularity,0.3039426999966963,0.3125,0.296875,0.015625,1.0281543198879153,145485824,51,0.0061274509803921,ml100k,0,,ml100k,popularity,greedy_topk,0
retrieve_select,popularity,0.3297718000030727,0.3125,0.28125,0.03125,0.9476249940021804,145485824,75,0.0041666666666666,ml100k,0,,ml100k,popularity,greedy_topk,0
rerank,popularity,0.316589499998372,0.328125,0.265625,0.0625,1.03643677380863,287100928,19,0.0172697368421052,ml100k,0,,ml100k,popularity,greedy_topk,0
train,popularity,0.3207818000009865,0.3125,0.3125,0.0,0.9741824504976246,287109120,1820,0.0001717032967032,ml100k,0,,ml100k,popularity,mmr,0
rerank_setup,popularity,0.4099616000021342,0.40625,0.328125,0.078125,0.99094646912756,287109120,4,0.1015625,ml100k,0,,ml100k,popularity,mmr,0
retrieve_score,popularity,0.3135977999991155,0.3125,0.3125,0.0,0.9964993376894908,287109120,49,0.0063775510204081,ml100k,0,,ml100k,popularity,mmr,0
retrieve_select,popularity,0.3081845000051544,0.3125,0.25,0.0625,1.014002975473372,287109120,63,0.0049603174603174,ml100k,0,,ml100k,popularity,mmr,0
rerank,popularity,0.4507267999942996,0.4375,0.4375,0.0,0.9706545073546392,287109120,2,0.21875,ml100k,0,,ml100k,popularity,mmr,0
train,popularity,0.3070170999999391,0.3125,0.28125,0.03125,1.0178586143900843,287109120,1753,0.0001782658300057,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank_setup,popularity,0.3882607999985339,0.375,0.28125,0.09375,0.965845637781141,287109120,4,0.09375,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_score,popularity,0.3044204000034369,0.3125,0.3125,0.0,1.0265409282573434,287109120,49,0.0063775510204081,ml100k,0,,ml100k,popularity,quota_mmr,0
retrieve_select,popularity,0.3091862999935983,0.3125,0.25,0.0625,1.010717486533104,287109120,70,0.0044642857142857,ml100k,0,,ml100k,popularity,quota_mmr,0
rerank,popularity,0.3541253000003053,0.34375,0.328125,0.015625,0.9707016132417076,287109120,3,0.1145833333333333,ml100k,0,,ml100k,popularity,quota_mmr,0
train,popularity,0.3055089999979827,0.3125,0.296875,0.015625,1.0228831229262096,287109120,1885,0.0001657824933687,ml100k,0,,ml100k,popularity,balanced_quota,0
rerank_setup,popularity,0.3644738000002689,0.359375,0.28125,0.078125,0.9860105170789636,287109120,4,0.08984375,ml100k,0,,ml100k,popularity,balanced_quota,0
retrieve_score,popularity,0.3126304999968852,0.3125,0.296875,0.015625,0.9995825743269244,287109120,51,0.0061274509803921,ml100k,0,,ml100k,popularity,balanced_quota,0
retrieve_select,popularity,0.3074071000010008,0.3125,0.1875,0.125,1.016567281624213,287109120,70,0.0044642857142857,ml100k,0,,ml100k,popularity,balanced_quota,0
rerank,popularity,0.3184416000003693,0.3125,0.3125,0.0,0.9813416337552554,287109120,3,0.1041666666666666,ml100k,0,,ml100k,popularity,balanced_quota,0
train,popularity,0.3116424999971059,0.3125,0.3125,0.0,1.0027515502632087,287109120,1885,0.0001657824933687,ml100k,0,,ml100k,popularity,qubo_feasible,0
rerank_setup,popularity,0.3719158000021707,0.359375,0.3125,0.046875,0.9662805398369804,287109120,4,0.08984375,ml100k,0,,ml100k,popularity,qubo_feasible,0
retrieve_score,popularity,0.2995794999951613,0.3125,0.296875,0.015625,1.0431287855312108,287109120,47,0.0066489361702127,ml100k,0,,ml100k,popularity,qubo_feasible,0
retrieve_select,popularity,0.3139494999995804,0.3125,0.234375,0.078125,0.9953830154226002,287109120,70,0.0044642857142857,ml100k,0,,ml100k,popularity,qubo_feasible,0
rerank,popularity,30.62006520000432,30.625,30.53125,0.09375,1.0001611622954898,287109120,1,30.625,ml100k,0,,ml100k,popularity,qubo_feasible,0
