dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,popularity,none,100,100,10,0.000173034330011,0.3029797000053804,0.0,0.0,0.00625,0.3181066999968607,0.0044642857142857,0.308292400004575,0.0,0.0,0.000173034330011,0.0001071428571428,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,,
ml100k,popularity,greedy_topk,100,100,10,0.0001655190677966,0.3023986000043805,0.08984375,0.3697406999999657,0.0061274509803921,0.3039426999966963,0.0041666666666666,0.3297718000030727,0.0172697368421052,0.316589499998372,0.0900092690677966,0.0002756385448916,0.0435446357382358,1.0,0.09,1.204,0.0533728687916975,0.9816204595997036,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4432470984774702,
ml100k,popularity,mmr,100,100,10,0.0001717032967032,0.3207818000009865,0.1015625,0.4099616000021342,0.0063775510204081,0.3135977999991155,0.0049603174603174,0.3081845000051544,0.21875,0.4507267999942996,0.1017342032967033,0.0023008786848072,0.0464352840014147,0.9980936375403552,0.1,1.1249999999999998,0.0541141586360266,0.9818324684951816,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4326099953648956,
ml100k,popularity,quota_mmr,100,100,10,0.0001782658300057,0.3070170999999391,0.09375,0.3882607999985339,0.0063775510204081,0.3044204000034369,0.0044642857142857,0.3091862999935983,0.1145833333333333,0.3541253000003053,0.0939282658300057,0.0012542517006802,0.037511468320862,0.9136628238846464,0.07,0.249,0.0541141586360266,0.9836723498888064,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3603843732388654,
ml100k,popularity,balanced_quota,100,100,10,0.0001657824933687,0.3055089999979827,0.08984375,0.3644738000002689,0.0061274509803921,0.3126304999968852,0.0044642857142857,0.3074071000010008,0.1041666666666666,0.3184416000003693,0.0900095324933687,0.0011475840336134,0.037511468320862,0.9097703735169076,0.07,0.1999999999999999,0.056338028169014,0.982724981467754,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3566728080740782,
ml100k,popularity,qubo_feasible,100,100,10,0.0001657824933687,0.3116424999971059,0.08984375,0.3719158000021707,0.0066489361702127,0.2995794999951613,0.0044642857142857,0.3139494999995804,30.625,30.62006520000432,0.0900095324933687,0.306361132218845,0.0298160089153419,0.8164078763835859,0.05,0.1999999999999999,0.1030392883617494,0.9620637509266124,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.2899927192977021,
ml100k,popularity,qubo_tabu,100,100,10,0.0001646469968387,0.3039723000038066,0.09765625,0.3939962000004016,0.0063775510204081,0.3301430999999866,0.0060096153846153,0.3108313999982783,24.265625,24.35561669999879,0.0978208969968387,0.2427801216640502,0.0452234320185648,0.8593583861206632,0.08,0.1999999999999999,0.0748702742772424,0.9765263157894736,0.35,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.3031483711473863,True
ml100k,itemknn,none,100,100,10,0.1953125,0.3896250999969197,0.0,0.0,0.0142045454545454,0.3094947999998112,0.0041118421052631,0.3113148999982513,0.0,0.0,0.1953125,0.000183163875598,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,,
ml100k,itemknn,greedy_topk,100,100,10,0.1953125,0.3925970999989658,0.08984375,0.3606475999986287,0.0142045454545454,0.3081179000000702,0.0041118421052631,0.3129286000039428,0.015625,0.3224135000054957,0.28515625,0.000339413875598,0.0468427071046376,1.0,0.09,1.1729999999999998,0.0889547813194959,0.9619362490733876,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4669672043744771,
ml100k,itemknn,mmr,100,100,10,0.1953125,0.3890476000015042,0.08984375,0.3627555999992182,0.015625,0.3099992999996175,0.0041118421052631,0.3105558999959612,0.1875,0.3844864999991841,0.28515625,0.0020723684210526,0.0556343035876352,0.9969793000909672,0.12,1.137,0.0971089696071163,0.955427724240178,0.41,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,10.0,0.4526825667717237,
