family,reranker,repeats,ndcg,recall,exposure_parity,cpu_once,cpu_per_request,spread_once,spread_per_request,cpu_train,cpu_rerank_setup,cpu_retrieve_score,cpu_retrieve_select,cpu_rerank
popularity,none,3,0.0398160089153419,0.08,1.204,0.0001593574706782,0.0001006785895484,0.12877280709003652,0.08599652316135489,0.0001593574706782,0.0,0.005787037037037,0.0042808219178082,0.0
als,none,3,0.0638315481905817,0.14,0.8440000000000001,6.125,0.0001231496710526,0.061224489795918366,0.3586280179590262,6.125,0.0,0.008203125,0.0041118421052631,0.0
itemknn,none,3,0.0468427071046376,0.09,1.138,0.1953125,0.000183163875598,0.08,0.07103021388755797,0.1953125,0.0,0.0142045454545454,0.0042229729729729,0.0
popularity,greedy_topk,3,0.0398160089153419,0.08,1.204,0.0900092690677966,0.0002540981181204,0.13030516806925246,0.09387189720467677,0.0001655190677966,0.08984375,0.0061274509803921,0.0044014084507042,0.0148809523809523
als,greedy_topk,3,0.0638315481905817,0.14,0.8440000000000001,5.68359375,0.0003377856182795,0.10171821305841924,0.29636565607676585,5.59375,0.08984375,0.0100806451612903,0.0041666666666666,0.01953125
itemknn,greedy_topk,3,0.0468427071046376,0.09,1.138,0.2890625,0.000339413875598,0.04054054054054054,0.07956947604548407,0.1953125,0.09375,0.0142045454545454,0.0041118421052631,0.0148809523809523
popularity,balanced_quota,3,0.0502941308760577,0.11,0.1999999999999999,0.0900067651278038,0.001141213346402,0.04343966048478409,0.02385182640057508,0.0001630151278038,0.08984375,0.0060096153846153,0.0044642857142857,0.1041666666666666
als,balanced_quota,3,0.0589177230872002,0.1,0.1999999999999999,5.640625,0.0011942204301075,0.09210526315789473,0.07593345369735237,5.546875,0.09375,0.0100806451612903,0.0041666666666666,0.1041666666666666
itemknn,balanced_quota,3,0.0535001304640337,0.1,0.1999999999999999,0.28515625,0.0012152777777777,0.0273972602739726,0.021729838294328296,0.1953125,0.08984375,0.0148809523809523,0.0043174342105263,0.1041666666666666
popularity,quota_mmr,3,0.052379951421265,0.11,0.24,0.0939189189189189,0.0012542517006802,0.04170187862280372,0.12142508148077985,0.0001689189189189,0.09375,0.0061274509803921,0.0041666666666666,0.1145833333333333
itemknn,quota_mmr,3,0.0535001304640337,0.1,0.25,0.28515625,0.0012791982323232,0.0,0.055685481439597895,0.1953125,0.08984375,0.0142045454545454,0.0041666666666666,0.109375
als,quota_mmr,3,0.06186688255575,0.1,0.253,5.87109375,0.0014797445471787,0.06986027944111776,0.04998055080021076,5.78125,0.08984375,0.0084459459459459,0.0041118421052631,0.1354166666666666
als,mmr,3,0.0642890252660755,0.13,0.7939999999999998,5.953125,0.0019599642255892,0.08464566929133858,0.030354457670529727,5.859375,0.09375,0.0100806451612903,0.0043402777777777,0.1796875
itemknn,mmr,3,0.0556343035876352,0.12,1.066,0.28515625,0.00197386298627,0.0136986301369863,0.08662635254431539,0.1953125,0.08984375,0.0142045454545454,0.0041118421052631,0.1796875
popularity,mmr,3,0.0390798304772479,0.08,1.1249999999999998,0.0900097967587672,0.0019761919938806,0.1302859499342993,0.24415759465937403,0.0001660467587672,0.08984375,0.0058962264150943,0.0042808219178082,0.1875
als,qubo_tabu,3,0.0602801978281345,0.09,0.1999999999999999,5.90234375,0.2417064111603545,0.0641958967571145,0.0030000851947002355,5.8125,0.08984375,0.010110294117647,0.0042229729729729,24.15625
itemknn,qubo_tabu,3,0.0658369238907539,0.14,0.1999999999999999,0.28515625,0.2425280251842752,0.0136986301369863,0.0018883062975029504,0.1953125,0.08984375,0.0142045454545454,0.0041118421052631,24.234375
popularity,qubo_tabu,3,0.0452234320185648,0.08,0.1999999999999999,0.0900088318806127,0.2427801216640502,0.13023975949299027,0.003883643604369377,0.0001646469968387,0.08984375,0.0060096153846153,0.0045955882352941,24.265625
itemknn,qubo_feasible,3,0.0514608647706439,0.09,0.1999999999999999,0.28125,0.3004843749999999,0.027777777777777776,0.02136979262453776,0.1875,0.09375,0.0142045454545454,0.0041666666666666,30.03125
als,qubo_feasible,3,0.051925360652163,0.08,0.1999999999999999,6.02734375,0.3012008237772865,0.06156837329876863,0.00874681741594158,5.9375,0.08984375,0.0066489361702127,0.0041666666666666,30.109375
popularity,qubo_feasible,3,0.0324899644782239,0.05,0.1999999999999999,0.0900095324933687,0.302289270483329,7.946338214700503e-05,0.014505775272649313,0.0001657824933687,0.08984375,0.0058962264150943,0.0042808219178082,30.21875
