family,reranker,repeats,cpu_rerank_per_request,cpu_serving_per_request,rerank_share,ndcg,exposure_parity,recall,time_bounded,cost_vs_cheapest
als,greedy_topk,3,0.0001953125,0.000337785618279569,0.5782143745336997,0.0638315481905817,0.8440000000000001,0.14,False,1.0
als,balanced_quota,3,0.001041666666666666,0.001194220430107525,0.8830744540608704,0.0589177230872002,0.1999999999999999,0.1,False,5.3333333333333295
als,quota_mmr,3,0.001354166666666666,0.001479744547178756,0.915135432834327,0.06186688255575,0.253,0.1,False,6.93333333333333
als,mmr,3,0.001796875,0.001959964225589224,0.9257068667051361,0.0642890252660755,0.7939999999999998,0.13,False,9.2
als,qubo_tabu,3,0.2415625,0.24170641116035455,0.9994046034622596,0.0602801978281345,0.1999999999999999,0.09,True,1236.8
als,qubo_feasible,3,0.30109375,0.3012008237772865,0.9996445103438173,0.051925360652163,0.1999999999999999,0.08,False,1541.6
itemknn,greedy_topk,3,0.000148809523809523,0.00033941387559808503,0.44968553459119515,0.0468427071046376,1.138,0.09,False,1.0
itemknn,balanced_quota,3,0.001041666666666666,0.001215277777777776,0.8443774303626702,0.0535001304640337,0.1999999999999999,0.1,False,7.000000000000033
itemknn,quota_mmr,3,0.00109375,0.001279198232323231,0.8574610244988873,0.0535001304640337,0.25,0.1,False,7.3500000000000405
itemknn,mmr,3,0.001796875,0.001973862986270022,0.904761904761905,0.0556343035876352,1.066,0.12,False,12.075000000000065
itemknn,qubo_tabu,3,0.24234375,0.2425280251842752,0.9992481440435715,0.0658369238907539,0.1999999999999999,0.14,True,1628.5500000000088
itemknn,qubo_feasible,3,0.3003125,0.30048437499999997,0.9993864041066645,0.0514608647706439,0.1999999999999999,0.09,False,2018.1000000000108
popularity,greedy_topk,3,0.000148809523809523,0.000254098118120486,0.5910161771634994,0.0398160089153419,1.204,0.08,False,1.0
popularity,balanced_quota,3,0.001041666666666666,0.0011412133464020241,0.9077040427154849,0.0502941308760577,0.1999999999999999,0.11,False,7.000000000000033
popularity,quota_mmr,3,0.001145833333333333,0.0012542517006802712,0.9139784946236569,0.052379951421265,0.24,0.11,False,7.700000000000038
popularity,mmr,3,0.001875,0.001976191993880672,0.9487944520603182,0.0390798304772479,1.1249999999999998,0.08,False,12.600000000000067
popularity,qubo_tabu,3,0.24265625,0.24278012166405025,0.9995642663552623,0.0452234320185648,0.1999999999999999,0.08,True,1630.6500000000087
popularity,qubo_feasible,3,0.3021875,0.30228927048332904,0.9996633341197777,0.0324899644782239,0.1999999999999999,0.05,False,2030.700000000011
