repeat,dataset,config,reference,metric,n_users,median_diff,ci_lo,ci_hi,better,worse,tied,statistic,p_raw,p_holm,significant,repeats_significant,repeats_tested,verdict
1,ml100k,popularity+mmr,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,1.691199949049793e-18,1.3022239607683407e-16,True,3,3,worse on 0/100 decided users
0,ml100k,popularity,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,1.6936915829402651e-18,1.304142518864004e-16,True,3,3,worse on 0/100 decided users
0,ml100k,popularity+greedy_topk,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,1.6936915829402651e-18,1.304142518864004e-16,True,3,3,worse on 0/100 decided users
0,ml100k,popularity+mmr,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,1.7347486844267583e-18,1.304142518864004e-16,True,3,3,worse on 0/100 decided users
1,ml100k,popularity,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,1.80524827604266e-18,1.3719886897924214e-16,True,3,3,worse on 0/100 decided users
1,ml100k,popularity+greedy_topk,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,1.80524827604266e-18,1.3719886897924214e-16,True,3,3,worse on 0/100 decided users
0,ml100k,itemknn,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,1.9509466640517582e-18,1.443700531398301e-16,True,3,3,worse on 0/100 decided users
0,ml100k,itemknn+greedy_topk,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,1.9509466640517582e-18,1.443700531398301e-16,True,3,3,worse on 0/100 decided users
0,ml100k,itemknn+mmr,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,0.9000000000000001,0,100,0,0.0,2.1413937614269996e-18,1.5418035082274397e-16,True,3,3,worse on 0/100 decided users
2,ml100k,popularity,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,2.0688261510118516e-18,1.5929961362791257e-16,True,3,3,worse on 0/100 decided users
2,ml100k,popularity+greedy_topk,itemknn+balanced_quota,exposure_parity,100,1.1,1.1,1.1,0,100,0,0.0,2.0688261510118516e-18,1.5929961362791257e-16,True,3,3,worse on 0/100 decided users
2,ml100k,popularity+mmr,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,2.085530675303511e-18,1.5929961362791257e-16,True,3,3,worse on 0/100 decided users
1,ml100k,itemknn,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,2.3170884479211056e-18,1.7146454514616182e-16,True,3,3,worse on 0/100 decided users
1,ml100k,itemknn+greedy_topk,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,1.1,0,100,0,0.0,2.3170884479211056e-18,1.7146454514616182e-16,True,3,3,worse on 0/100 decided users
2,ml100k,itemknn,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,0.9000000000000001,0,100,0,0.0,2.3984400853690353e-18,1.7748456631730861e-16,True,3,3,worse on 0/100 decided users
2,ml100k,itemknn+greedy_topk,itemknn+balanced_quota,exposure_parity,100,0.9000000000000001,0.9000000000000001,0.9000000000000001,0,100,0,0.0,2.3984400853690353e-18,1.7748456631730861e-16,True,3,3,worse on 0/100 decided users
